testo_corretto;count
visita domiciliare con specialista medico;1
visita domiciliare con specialista e millimetri di mercurio;1
med ferita chirurgico;1
med gestione catetere venoso centrale;1
med gestione gastrostomia endoscopica percutanea;1
med lesioni diabetico;1
visita domiciliare con specialista;1
med lesioni vascolare;1
visita domiciliare con presa in carico;1
med midline;1
visita domiciliare con chirurgo;1
med nefrostomia;1
med piede diabetico;1
med sacro;1
med drenaggio chirurgico e stomie;1
visita specialistica;1
visita post dimissione protetta;1
lesioni da ulcera da decubito;1
visita per nuovo presa in carico;1
lesioni decubito;1
visita per monitoraggio;1
lesioni diabetico;1
visita multiprofessionale;1
lesioni neoplastico;1
lesioni piede diabetico;1
lesioni post trauma;1
lesioni sacrale;1
lesioni trauma;1
lesioni trofico;1
mantenere contatto con medico di base e diverso team multiprofessionale;1
lesioni ventosa arterioso neoplastico;1
liquido endovena;1
macchina della tosse;1
management della salute;1
visita infermieristico settimanale;1
management delle terapia orale;1
management delle terapia orale infusionale;1
manager nel setting palliativo e dolore cronico;1
manager nel team interdisciplinare millimetri di mercurio;1
manovra facilitatore dell alvo;1
manovra facilitazione dell alvo;1
manovra facilitazione per l alvo;1
manovra per favorire eliminazione urinario e intestinale;1
manovra per favorire l evacuazione;1
manovra per l eliminazione urinario posizionamento sostituzione rimozione catetere vescicale;1
visita integrato con medico di medicina generale e o medico palliativista;1
medicazione accesso venoso profondo;1
accesso con cura palliative;1
medicazione alto complessitÃ ;1
visita congiunto con sociale e millimetri di mercurio a domiciliare per valutazione paziente;1
medicazione anche con bendaggio;1
visita congiunto con pediatra di base;1
medicazione arto inferiore e ferita chirurgico;1
medicazione arto inferiore e superiore;1
visita congiunto con millimetri di mercurio esame obiettivo medico palliativista;1
medicazione avanzato di lesioni da pressione e vascolare;1
visita congiunto con millimetri di mercurio e o palliativista o altro figura sanitario;1
visita congiunto con medico di famiglia;1
medicazione avanzato e chirurgico;1
medicazione avanzato e non;1
med semplice e gestione complicanza;1
visita congiunto con il millimetri di mercurio e altro personale sanitario o figura assistenziale sociale geriatrico operatore_sociosanitario;1
medicazione avanzato lesione da pressione;1
accesso con m m g;1
medicazione avanzato lesioni da pressione;1
visita congiunto con altri figura coinvolto medico pcap pediatrico cura palliative;1
medicazione bendaggio complesso;1
medicazione bendaggio elastocompressivo;1
medicazione bendaggio fasciatura;1
medicazione bendaggio lesioni vascolare diabetico;1
medicazione c v c;1
medicazione catetere centrale;1
medicazione catetere centrale e somministrazione;1
medicazione catetere centrale periferico;1
medicazione catetere vascolare;1
visita con specialista e millimetri di mercurio;1
medicazione avanzato e semplice;1
med stomie;1
med tracheostomia;1
med traumatico;1
med ureterostomia;1
med vascolare;1
medcazione;1
mediazione;1
mediazione decubito;1
visita di monitoraggio;1
mediazione gastrostomia endoscopica percutanea;1
mediazione lesione da decubito;1
mediazione semplice o complesso;1
visita di consulenza infermieristico;1
medicare le ferita;1
visita congiunto in team con dottore e specialista;1
medicazione accesso venoso peripherally inserted central catheter midline;1
medicazione a lesione da pressione;1
medicazione a lesioni traumatico;1
medicazione a pressione negativo;1
medicazione a pressione positiva;1
medicazione accesso catetere venoso centrale;1
medicazione accesso peripherally inserted central catheter port-a-cath;1
medicazione accesso vascolare peripherally inserted central catheter midline;1
visita congiunto con specialista millimetri di mercurio e palliativista;1
medicazione accesso venoso centrale e periferico;1
visita congiunto con specialista ematologo palliativista;1
medicazione accesso venoso centrale esame peripherally inserted central catheter port-a-cath;1
medicazione accesso venoso centrale periferico;1
medicazione accesso venoso centrale peripherally inserted central catheter;1
medicazione accesso venoso centrale peripherally inserted central catheter catetere venoso centrale groshong;1
medicazione accesso venoso centralizzato;1
medicazione a domicilio;1
medicazione primario;1
medicazione primario e secondaria;1
valutazione iniziale e pianificazione dell assistenza utilizzo di strumento di valutazione;1
valutazione iniziale;1
medicazione semplice avanzato e complesso terapia;1
valutazione infermieristico ed educazione;1
valutazione infermieristico assistenziale;1
valutazione in itinere;1
valutazione idrica e alimentare;1
medicazione semplice e avanzato anche a pressione negativo;1
medicazione semplice e avanzato ferita chirurgico ulcera da trauma ulcera vascolare ulcera neoplastico;1
medicazione semplice e complesse;1
valutazione gestione presidi;1
medicazione semplice e complesso anche con il chirurgo;1
medicazione e lavaggio catetere venoso centrale e periferico;1
medicazione semplice e complesso bendaggio elastocompressivo;1
valutazione e rilevazione del dolore;1
valutazione e pianificazione della assistenza ed utilizzo di strumento quali scale di valutazione;1
medicazione semplice e complesso controllo;1
medicazione semplice e complesso fasciatura e bendaggio;1
medicazione semplice e complesso incluso lesioni vascolare diabetico pressione;1
medicazione semplice e complesso lesione da pressione ferita chirurgico;1
medicazione semplice e complesso neoplastico;1
medicazione semplice e esse neoplastico;1
medicazione semplice e o complesso;1
medicazione semplice e o complesso ulcera da decubito;1
medicazione semplice ed avanzato incluso bendaggio contenitivo;1
medicazione semplice lesione da pressione;1
medicazione semplice lesioni da decubito;1
valutazione domicilio e proposta ausilio;1
medicazione semplice e complesso bendaggio;1
valutazione parametri;1
valutazione nucleo familiare;1
medicazione neoplastico;1
medicazione neoplastico e chirurgico;1
medicazione occasionale;1
medicazione oncologico;1
medicazione per lesione da decubito;1
medicazione per lesioni da decubito;1
medicazione per lesioni da pressione;1
valutazione non autosufficienza per;1
medicazione per problematico vascolare;1
valutazione multiprofessionale;1
medicazione peripherally inserted central catheter centrale;1
medicazione peripherally inserted central catheter e accesso venoso centrale;1
medicazione post operatorio;1
valutazione multidimensionale utente con assistente sociale;1
medicazione peripherally inserted central catheter e o accesso vascolare centrale;1
medicazione peripherally inserted central catheter e port-a-cath;1
medicazione peripherally inserted central catheter gastrostomia endoscopica percutanea;1
valutazione multidimensionale infermieristico;1
medicazione peripherally inserted central catheter o catetere centrale;1
medicazione peripherally inserted central catheter o midline;1
medicazione peripherally inserted central catheter o port-a-cath;1
medicazione piaga da decubito e ulcera venoso;1
medicazione piaga da decubito od ulcera trofico;1
medicazione piaga da decubito semplice;1
medicazione piaga e altro;1
valutazione monitoraggio;1
medicazione port-a-cath e peripherally inserted central catheter;1
terapia sotto cutanea ed endovenoso;1
medicazione peripherally inserted central catheter e lavaggio;1
medicazione ulcera flacone bendaggio elastocompressivo;1
medicazione ulcera lesione da decubito peripherally inserted central catheter catetere venoso centrale;1
valutazione dei farmaco e aderenza terapeutica;1
medicazione ulcera trofico e decubito;1
medicazione ulcera varicosa;1
valutazione dei bisogno dell utente;1
medicazione ulcera vascolare arto inferiore;1
medicazione ulcera vascolare con bendaggio;1
valutazione dei bisogno assistenziale;1
medicazione ulcera vascolare e bendaggio elastocompressivo;1
medicazione ulcera vascolare lesione da decubito med chirurgico;1
medicazione ulcera vascolare lesioni chirurgico lesione da pressione;1
medicazione ulcera venoso arterioso;1
medicazione ulcera venoso e arterioso;1
medicazione semplice media e avanzato;1
valutazione contesto domiciliare logistico;1
medicazione uretere colonstomia;1
valutazione condizione generale paziente;1
medicazione urina nefrostomia;1
medicazione urostomia e nefrostomia;1
medicazione vari stadio;1
medicazione varie lesione da decubito peripherally inserted central catheter ecc;1
valutazione condizione generale del paziente;1
medicazione varie sede;1
valutazione condizione clinica generale dei bisogno assistenziale;1
valutazione con altri professionista;1
medicazione vascolare e da pressione medicazione piede diabetico;1
medicazione vascolare lesione da decubito skin team ecc;1
medicazione via centrale;1
medicina;1
medicazione ulcera venoso lesioni neoplastico in assistenza domiciliare integrata;1
medicazione semplice media e complesso;1
medicazione semplice rilevazione delle complicanza;1
medicazione settimanale catetere venoso periferico tipo peripherally inserted central catheter;1
medicazione skin team;1
medicazione sondino gastrostomia endoscopica percutanea tracheostomia sondino naso gastrico;1
medicazione sostituzione device sistema venoso centrale drenaggio catetere nefrostomico vescicale placche stomie;1
medicazione stoma;1
medicazione stomia nefrostomia;1
valutazione domiciliare assistenza domiciliare integrata;1
medicazione stomie digiuno urina gastrostomia endoscopica percutanea;1
medicazione su nefrostomia;1
valutazione dimensionale;1
medicazione tracheostomia stomie;1
medicazione traumatico;1
valutazione di tipo sociale relazione;1
medicazione ulcera ferita chirurgico e post traumatico;1
medicazione ulcera arterioso venoso;1
valutazione di presa in carico;1
medicazione ulcera cutaneo;1
medicazione ulcera da compressione;1
valutazione di non autosufficienza;1
valutazione della terapia del dolore;1
valutazione del setting;1
valutazione del paziente;1
medicazione ulcera da pressione venoso arterioso;1
medicazione ulcera da stasi venoso misto;1
valutazione del contesto familiare;1
medicazione ulcera difficile;1
medicazione ulcera e ferita chirurgico;1
valutazione del caregiver caregiver;1
valutazione dei parametri vitale e del dolore;1
medicazione ulcera arterioso;1
medicazione ferita traumatico;1
medicazione ferita traumatico e o cronico;1
medicazione fissatore dopo intervento ortopedico;1
medicazione gamba gambaletti lesioni vascolare;1
verifica del aderenza farmacologico;1
medicazione gastrostomia endoscopica percutanea digiunostomia endoscopica percutanea;1
medicazione gastrostomia endoscopica percutanea e tracheostomia;1
medicazione gastrostomia endoscopica percutanea peripherally inserted central catheter tracheostomia;1
medicazione gastrostomia endoscopica percutanea tracheostomia;1
verifica aderenza terapeutica e follow up;1
medicazione gestione diverso tipo di catetere vescicale;1
medicazione gestione drenaggio terapia;1
medicazione gestione sonda gastrostomia endoscopica percutanea;1
medicazione in ambulatorio;1
medicazione natura da determinare;1
medicazione lavaggio catetere venoso;1
medicazione lavaggio catetere venoso centrale;1
medicazione lavaggio di catetere venoso centrale;1
medicazione lavaggio port-a-cath;1
valutazione visita domiciliare;1
medicazione lesione _ grado;1
medicazione lesione cutaneo;1
valutazione utente con assistente sociale;1
medicazione lesione da decubito chirurgico trauma accidentale;1
medicazione lesione da decubito e varie;1
medicazione lesione da decubito sacro;1
medicazione lesione da decubito ulcera trofico ferita chirurgico e traumatico;1
valutazione socio ambientale;1
medicazione lesione da decubito ulcera venoso arterioso;1
medicazione lesione da pressione chirurgico;1
medicazione lavaggio accesso venoso centrale;1
medicazione e lavaggio di accesso vascolare centrale ed ad inserzione periferico;1
medicazione e lavaggio peripherally inserted central catheter catetere venoso centrale;1
medicazione e lavaggio peripherally inserted central catheter midline;1
verifica pervietÃ  catetere venoso centrale port-a-cath a catetere peripherally inserted central catheter;1
medicazione e lavaggio port-a-cath e caregiver;1
medicazione e mobilizzazione gastrostomia endoscopica percutanea;1
medicazione e prelievo da accesso centrale;1
medicazione e rimozione punti;1
medicazione e sostituzione cannula tracheale;1
verifica parametri vitale e nutrizionale;1
medicazione e trattamento lesione da pressione;1
medicazione ed educazione;1
medicazione ed educazione terapeutica alla prevenzione di lesione da decubito e gestione del ripristino medicazione in caso di necessitÃ ;1
verifica follow up;1
medicazione fasciatura bendaggio;1
medicazione ferita semplice;1
verifica e programmazione follow up;1
verifica e controllo apparecchiatura ventilatore;1
medicazione ferita acuto e cronico;1
verifica e aggiornamento progetto assistenziale;1
medicazione ferita chirurgico complesso con presidi;1
medicazione ferita chirurgico e rimozione punti;1
medicazione ferita chirurgico e traumatico;1
verifica dell aderenza alla terapia farmacologico;1
medicazione ferita chirurgico o lacero controllo;1
medicazione ferita chirurgico o traumatico;1
medicazione ferita chirurgico semplice e complicato;1
medicazione ferita di altro natura no lesione da pressione;1
medicazione ferita e postchirurgiche;1
medicazione ferita lesioni da pressione ecc;1
verifica del raggiungimento degli obiettivo assistenziale;1
medicazione fasciatura ulcera vascolare;1
valutazione pianificazione dell assistenza scale test;1
medicazione lesioni decubito e arto inferiore;1
medicazione lesioni di ogni tipo;1
medicazione lesioni di varia natura ed eventuale bendaggio compressivo;1
medicazione lesioni di vario tipo;1
medicazione lesioni diabetico;1
medicazione lesioni e catetere venoso centrale;1
medicazione lesioni e ferita chirurgico;1
medicazione lesioni e ulcera;1
medicazione lesioni lesione da decubito vascolare skin team;1
valutazione per presa in carico;1
medicazione lesioni neoplastico e chirurgico;1
medicazione lesioni sacrale;1
medicazione lesioni stadio;1
medicazione lesione da pressione e vascolare;1
valutazione per autosufficienza;1
valutazione per ausilio;1
valutazione paziente con scompenso cardio circolatorio e pluripatologico;1
medicazione lesioni vascolare arterioso;1
medicazione lesioni vascolare e da decubito;1
medicazione lesioni vascolare e da pressione;1
medicazione lesioni vascolare lesione da pressione ecc;1
medicazione lesioni vascolare traumatico;1
valutazione paziente;1
medicazione lupus eritematoso sistemico vascolare;1
medicazione media complessitÃ ;1
medicazione media semplice complesso;1
valutazione parametri vitale e condizione generale;1
medicazione midline;1
medicazione multipla complesso;1
medicazione lesioni traumatico;1
medicazione lesione da pressione o ulcera arto inferiore;1
medicazione lesione da pressione semplice complesso;1
medicazione lesione oncologico;1
medicazione lesione sacrale;1
valutazione setting domiciliare tenuta della famiglia;1
medicazione lesioni arto;1
valutazione setting domandare;1
medicazione lesioni arto inferiore vascolare;1
medicazione lesioni bendaggio;1
medicazione lesioni chirurgico;1
medicazione lesioni complesso;1
medicazione lesioni complesso di varia natura drenaggio e ferita chirurgico;1
valutazione setting caregiver;1
medicazione lesioni complesso e semplice;1
medicazione lesioni cronico;1
valutazione post intervento chirurgico deiscenza;1
valutazione scale;1
valutazione respiro;1
valutazione prima visita e presa in carico;1
medicazione lesioni da decubito e o ferita chirurgico;1
medicazione lesioni da decubito lesioni vascolare ferita chirurgico;1
medicazione lesioni da decubito ulcera;1
medicazione lesioni da decubito vascolare;1
medicazione lesioni da decubito vascolare e diabetico;1
valutazione prescrizione ausilio letto materasso;1
medicazione lesioni da pressione chirurgico vascolare neoplastico traumatico bendaggio gestione;1
medicazione lesioni da pressione e ferita chirurgico desutura;1
medicazione lesioni da pressione e vascolare;1
medicazione lesioni da pressione neoplastico;1
medicazione lesioni da pressione o da trauma;1
medicazione lesioni da pressione ulcera trofico ferita chirurgico e altro lesioni;1
valutazione segno sintomo;1
somministrazione terapia in pompa elastomerico;1
somministrazione terapia infusionale e terapia endovena;1
somministrazione terapia infusionale sotto cutanea e intramuscolare;1
terapia infusionale endovena instramuscolare;1
somministrazione terapia iniettivo;1
terapia infusionale endovena in paziente oncologico;1
terapia infusionale endovena e sottocute;1
somministrazione terapia instramuscolare sottocute endovena;1
somministrazione terapia insulina;1
somministrazione terapia insulinica ai bambino diabetico in ambito scolastico;1
somministrazione terapia intramuscolare o sotto cutanea tra cui gestione midline pediatrico nelle scuola;1
somministrazione terapia ipodermico endovena instramuscolare;1
terapia infusionale e gestione del accesso venoso;1
terapia infusionale e gestione accesso venoso;1
somministrazione terapia per latino per bocca sondino naso gastrico gastrostomia endoscopica percutanea;1
prelievo ematico e arterioso;1
somministrazione terapia per via infusiva;1
somministrazione terapia per via intramuscolare;1
somministrazione terapia per via parenterale idratazione di fisiologica sotto cutanea;1
somministrazione terapia per via sotto cutanea o intramuscolare;1
somministrazione terapia prescritte s c i m;1
somministrazione terapia s c e e v;1
somministrazione terapia s c e i m;1
somministrazione terapia s c endovena;1
somministrazione terapia s c i m e v;1
somministrazione terapia sedativa;1
terapia infusionale compreso nutrizione parenterale totale elastomero;1
somministrazione terapia sotto le diverso via di somministrazione;1
somministrazione terapia sottocute endovena;1
somministrazione terapia sottocute endovena instramuscolare;1
somministrazione terapia tramite accesso venoso centrale di sacca nutrizionale e farmaco;1
somministrazione terapia per via endovenoso;1
somministrazione terapia antibiotico endovena;1
somministrazione terapia antibiotico endovenoso;1
somministrazione terapia antibiotico i m ed e v;1
somministrazione terapia attraverso via sottocute instramuscolare;1
somministrazione terapia e sottocute;1
somministrazione terapia e verifica dell esito;1
somministrazione terapia endovena e in ipodermoclisi;1
somministrazione terapia endovena e o instramuscolare;1
somministrazione terapia endovena e sottocute;1
somministrazione terapia endovena instramuscolare sottocute;1
somministrazione terapia endovena instramuscolare sottocute idratazione per via sotto cutanea;1
terapia infusionale endovena periferico;1
somministrazione terapia endovena sottocute instramuscolare;1
somministrazione terapia endovena sottocute instramuscolare latino per bocca;1
somministrazione terapia endovenoso antibiotico o idratazione sotto cutanea;1
somministrazione terapia in muscolo e endovenoso;1
somministrazione terapia in ipodermoclisi;1
somministrazione terapia in diverso via di somministrazione;1
somministrazione terapia idratante tramite ipodermoclisi;1
somministrazione terapia idratante;1
somministrazione terapia i m s c endovena;1
somministrazione terapia i m;1
somministrazione terapia gastrostomia endoscopica percutanea;1
somministrazione terapia endovenoso e sotto cutanea;1
somministrazione terapia farmacologico orale e intramuscolo;1
somministrazione terapia farmacologico ed idratante;1
somministrazione terapia farmacologico;1
somministrazione terapia endovenoso sotto cutanea intramuscolare;1
somministrazione terapia endovenoso sotto cutanea;1
somministrazione terapia endovenoso intramuscolare;1
somministrazione terapia endovenoso in infusione;1
somministrazione terapia endovenoso flebo sotto cutanea;1
terapia infusionale endovena ipodermico npt;1
sostegno ed educazione al caregiver;1
sostegno emotivo del paziente e della famiglia;1
sostegno emotivo paziente e familiare;1
sostegno emotivo paziente palliativo;1
sostegno famiglia;1
sostegno familiare;1
sostegno morente e famiglia;1
sostegno paziente;1
terapia idratante endovena o ipodermico;1
sostegno psicologico in situazione fragile;1
sostegno psicologico sostegno al lutto;1
sostituzione;1
sostituzione accesso venoso;1
sostituzione accesso venoso periferico;1
sostituzione ago di ago di huber o simile;1
somministrazione terapia tramite flebo;1
sostituzione cambio catetere vescicale;1
sostituzione cannula endotracheale;1
terapia idratante ed infusiva nutrizione parenterale totale;1
terapia i v;1
sostituzione catetere venoso a domora;1
terapia i m s c e v;1
sostituzione catetere vescicale a domora;1
sostituzione catetere vescicale controllo pervietÃ  circuito e controllo minzione;1
sostituzione catetere vescicale o catetere s c;1
sostituzione catetere vescicale uretrale o sovrapubico;1
sostituzione cateterismo vescicale;1
sostituzione controllo gastrostomia endoscopica percutanea;1
sostituzione del catetere vescicale;1
sostituzione del catetere vescicale uretrale o sovrapubico;1
terapia i m e s c;1
sostituzione applicazione catetere vescicale;1
somministrazione terapia tramite gastrostomia endoscopica percutanea;1
somministrazione torace varie;1
sonda enterale;1
terapia in sottocute;1
sondino naso gastrico gastrostomia endoscopica percutanea;1
sondino naso gastrico net;1
terapia in elastomero sotto cutanea;1
terapia in catetere venoso centrale;1
sorveglianza alle cura;1
sorveglianza clinica;1
sorveglianza e addestramento;1
sorveglianza e mobilizzazione paziente;1
sorveglianza e monitoraggio del l assunzione dei farmaco farmaco;1
sorveglianza e o educazione terapeutica;1
terapia idratante ipodermico;1
sostegno del caregiver caregiver;1
sostegno caregiver;1
terapia idratante farmacologico;1
sostegno al paziente;1
sostegno al lutto;1
sostegno ai familiare;1
sostegno ai caregiver caregiver;1
sostegno ai caregiver;1
sorveglianza e sostegno dei minore in famiglia;1
sostegno;1
sorveglianza terapeutica paziente oncologico;1
sorveglianza terapeutica;1
sorveglianza sanitario;1
sorveglianza paziente;1
sorveglianza monitoraggio;1
sorveglianza infermieristico ed educazione terapeutica;1
terapia idratante in ipodermico;1
sostegno a familiare e paziente;1
terapia infusionale reidratanti;1
terapia infusionale reidratante sotto cutanea;1
somministrazione di terapia endovena sottocute instramuscolare latino per bocca;1
somministrazione di terapia endovenoso;1
somministrazione di terapia endovenoso e sotto cutanea;1
somministrazione di terapia infusione anche palliative;1
somministrazione di terapia infusiva endovena;1
somministrazione di terapia parenterale idratazione;1
somministrazione di terapia s c e i m;1
somministrazione di terapia sotto cutaneo;1
somministrazione e assistenza terapia parenterale enterale gastrostomia endoscopica percutanea;1
somministrazione e gestione ne;1
somministrazione e v s c idratazione;1
terapia infusionale periferico;1
terapia infusionale nutrizione parenterale totale flebo;1
somministrazione terapia antibiotico di lungo durata;1
somministrazione endovena farmaco;1
terapia infusionale liquido e emoderivato;1
somministrazione endovenoso infusione;1
somministrazione farmaci endovena;1
somministrazione farmaci i v s c i m;1
terapia infusionale ipodermico;1
somministrazione farmaco attraverso varie via;1
terapia infusionale intramuscolare sotto cutanea;1
somministrazione farmaco endovena e sotto cutanea;1
somministrazione farmaco endovena e sottocute;1
somministrazione farmaco fascia h con sorveglianza;1
terapia infusionale intramuscolare e sotto cutanea;1
somministrazione farmaco instramuscolare endovena sottocute;1
somministrazione farmaco intramuscolo;1
somministrazione farmaco orale;1
terapia infusionale npt;1
scheda rilevazione alimentazione per latino per bocca;1
scheda rilevazione dolore;1
scheda valutazione autosufficienza;1
sedazione;1
sedazione ipodermico;1
sedazione nel fine vita;1
terapia infusionale sotto cutanea e endovena;1
sedazione terminale oncologico;1
segnalazione dalla medico competente;1
segnalazione operatore_sociosanitario;1
segni vitali;1
segni vitali glicemia;1
seguire e educare caregiver caregiver;1
setting;1
sollievo morale paziente;1
somministrazione di scale di valutazione su rischio dolore rischio nutrizionale gestione accesso venoso centrale ecc;1
somministrazione di scale;1
somministrazione di liquido e terapia endovena e sottocute;1
somministrazione di informazione riguardo la rete sociale e informale;1
somministrazione di farmaco intramuscolare;1
somministrazione di emoderivato;1
somministrazione delle terapia;1
somministrazione dei farmaco;1
somministrare sub cutanea iniezione;1
somministrazione antibioticoterapia e fleboclisi;1
somministrazione antibioticoterapia;1
somministrazione antibiotico terapia endovena;1
somministrazione alimentazione parenterale ed enterale;1
somministrazione alimentazione attraverso pompa nutrizionale;1
somministrazione albumina endovena;1
somministrazione albumina;1
somministrazione;1
somministrazione clisma;1
somministrazione ne terapia endovenoso;1
terapia infusionale idratazione;1
somministrazione ne terapia farmacologico;1
somministrazione ne terapia infusionale;1
somministrazione ne terapia instramuscolare;1
somministrazione ne terapia intramuscolare;1
somministrazione ne terapia parenterale ed enterale;1
somministrazione ne terapia reidratante;1
somministrazione ne terapia sotto cutanea;1
somministrazione npt;1
somministrazione nutrizione artificiale;1
terapia infusionale idratante;1
terapia infusionale endovenoso e sotto cutanea;1
terapia infusionale endovenoso e ipodermico;1
terapia infusionale endovenoso e idratante;1
somministrazione farmaco parenterale;1
somministrazione parenterale;1
somministrazione parenterale farmaco;1
somministrazione parenterale terapia;1
somministrazione per via parenterale;1
somministrazione s c;1
somministrazione sacca npt;1
somministrazione sacca nutrizionale;1
somministrazione sacca nutrizione parenterale totale;1
somministrazione sotto cutanea;1
somministrazione sottocute;1
somministrazione sottocute instramuscolare endovena;1
somministrazione t endovena ipodermico o nutrizione nutrizione parenterale totale;1
terapia infusionale endovena sottocute intramuscolare;1
somministrazione terapia alimentare nutrizione parenterale totale;1
somministrazione terapia antibiotico;1
somministrazione nutrizione parenterale totale nutrizione parenterale totale;1
somministrazione farmaco per via intramuscolare;1
somministrazione farmaco per via intramuscolo;1
somministrazione farmaco per via sotto cutanea;1
terapia infusionale intramuscolare;1
somministrazione farmaco terapia orale;1
somministrazione farmaco via endovenoso;1
terapia infusionale iniettivo sotto cutanea endovena;1
somministrazione gestione nutrizione parenterale totale e medicazione gestione catetere venoso centrale;1
somministrazione gestione terapia endovena;1
somministrazione gestione terapia ipodermico;1
somministrazione i m s c;1
somministrazione i v i m s c terapia;1
somministrazione idratazione endovena o sottocute;1
somministrazione in infusione terapia endovenoso;1
terapia infusionale iniettiva e sotto cutanea;1
somministrazione ne terapia endovena;1
somministrazione ne terapia;1
somministrazione ne infusione;1
somministrazione ne farmaco mediante iniezione sotto cutanea;1
somministrazione ne farmaco mediante iniezione intramuscolare;1
somministrazione medicinale;1
somministrazione intramuscolo;1
somministrazione intramuscolare;1
terapia infusionale in sottocute;1
somministrazione insulina e monitoraggio glicemico;1
somministrazione insulina bambino nelle scuola;1
somministrazione insulina;1
somministrazione instramuscolare sottocute;1
terapia infusionale in periferico;1
somministrazione instramuscolare;1
somministrazione infusione endovena o ipodermico;1
somministrazione infusione;1
somministrazione insulina scuola;1
supporto psicopedagogico alla famiglia;1
terapia endovenoso e gestione nutrizione parenterale ed enterale;1
supporto relazione ai paziente e ai caregiver spesso lasciato da solo dalle istituzione;1
supporto relazione al paziente e ai familiare;1
supporto relazione al paziente e al caregiver;1
supporto relazione all utente famiglia caregiver caregiver;1
supporto relazione caregiver;1
supporto relazione educazione sanitario;1
supporto relazione familiare;1
supporto relazione paziente caregiver;1
supporto relazione per i paziente caregiver e parenti in tutte quelle condizione di morbilitÃ  che lo nei caso pediatrico;1
supporto relazione supporto al lutto;1
supporto relazione utente famiglia e caregiver;1
supporto somministrazione di farmaci;1
terapia endovenoso e gestione accesso venoso;1
sostituzione di catetere vescicale a permanenza;1
supporto visita o trasferimento;1
supporto visita paracentesi trasfusione;1
supporto visita specialistica;1
svuotamento drenaggio;1
svuotamento intestinale;1
svuotamento manuale ampolla rettale;1
svuotamento manuale di feci;1
svuotamento rettale;1
svuotamento rettale manuale;1
terapia endovenoso con accesso venoso periferico;1
t infusiva;1
t instramuscolare;1
t p n;1
talvolta medicazione;1
talvolta prelievo domiciliare;1
supporto terapia del dolore collaborazione con cura palliative;1
terapia endovenoso e sotto cutanea in base alla prescrizione;1
supporto nel follow up;1
supporto nella gestione della fase terminale di malattia;1
supporto nella gestione di stomie;1
supporto nella programmazione visita ambulatoriale e domiciliare;1
supporto nella terapia del dolore stretta collaborazione con cura palliative;1
supporto p te e o caregiver famiglia;1
supporto paziente;1
supporto paziente famiglia;1
supporto paziente familiare;1
supporto paziente palliativo accompagnare alla morte;1
terapia endovenoso e s c;1
supporto per cura palliative;1
supporto per le emotrasfusione;1
supporto prenotazione;1
supporto psicologico utente caregiver;1
supporto psicologico sociale;1
supporto psicologico paziente oncologico;1
supporto psicologico paziente e famiglia;1
supporto psicologico paziente e caregiver;1
supporto psicologico paziente;1
terapia endovenoso e intramuscolare;1
supporto psicologico familiare caregiver caregiver;1
supporto psicologico a paziente e famiglia;1
supporto psicologico e trasferimento competenze caregiver caregiver;1
supporto psicologico dei familiare;1
supporto psicologico caregiver;1
supporto psicologico alla persona al caregiver caregiver familiare;1
terapia endovenoso e ipodermico;1
supporto psicologico al paziente e famiglia;1
supporto psicologico al malato e alla famiglia;1
supporto psicologico al familiare;1
supporto psicologico ed ascolto attivo;1
terapia di supporto;1
terapia di supporto psicologico;1
terapia e v e sottocute;1
terapia e v o intramuscolare;1
terapia e v o s c;1
terapia educazionale gestione stomie;1
terapia elastomerico;1
terapia elastomerico terapia iniettivo sottocute;1
terapia elastomero;1
terapia endovena come nutrizione parenterale totale;1
terapia endovena e gestione degli accesso periferico;1
terapia endovena e instramuscolare;1
terapia endovena nutrizione parenterale totale;1
terapia endovena ed educazione;1
terapia endovena ed idratante;1
terapia endovenoso con accesso sotto cutanea;1
terapia endovena farmacologico;1
terapia endovena fisiologica glucosio per idratazione;1
terapia endovena ipodermico;1
terapia endovena gestione catetere venoso centrale;1
terapia endovena i m s c;1
terapia endovena idratante;1
terapia endovena ipoderma;1
terapia endovena in infusione;1
terapia endovena infusione;1
terapia endovena ipo instramuscolare sottocute orale;1
terapia endovena instramuscolare ipodermico;1
terapia endovena intramuscolare e sotto cute;1
terapia endovena instramuscolare sottocute anche con pompa infusionale;1
terapia endovena instramuscolare sottocute ecc;1
terapia endovena instramuscolare sottocute enterale;1
terapia endovena ed instramuscolare;1
terapia endovenoso compreso albumina endovena;1
tampone culturale;1
tampone cutaneo;1
tampone domiciliare covid;1
tampone lesioni;1
tampone naso faringeo;1
tampone per coltura;1
teaching manovra assistenziale ai caregiver;1
tele monitoraggio;1
telefonata al millimetri di mercurio;1
terapia endovenosa ipodermico;1
telefonata con i medico;1
televisiva con specialista pneumologo;1
tentativo rimozione catetere venoso;1
tenuta documentazione su cartella domiciliare e registrazione di prestazione su applicativo regionale e condivisione del caso con millimetri di mercurio e collega coinvolto;1
terapia endovena prelievo;1
terapia con posizionamento elastomero;1
terapia con pompa elastomerico;1
terapia con palliative;1
terapia compressivo;1
terapia attraverso varie via di somministrazione anche infusionale;1
terapia anticoagulante orale prelievo capillare;1
terapia endovena s c;1
terapia endovenosa instramuscolare sottocute;1
terapia antibiotico infusionale o intramuscolo;1
terapia antibiotico endovenoso;1
terapia antibiotico e v i m s c;1
terapia antibiotico con sorveglianza;1
