index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
2599;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
2600;Medicazioni Avanzate;medicazioni ulcere  ferite chirurgiche e post traumatiche;031T;medicazioni ulcere  ferite chirurgiche e post traumatiche
2601;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie endovenose;016T;terapie endovenose
2602;Medicazioni Avanzate;Medicazione ulcere da pressione;031T;medicazione ulcere da pressione
2604;Medicazione semplice;Medicazione;031T;medicazione
2605;Medicazioni Avanzate;medicazione ldp;031T;medicazione ldp
2606;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2607;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
2608;Medicazioni Avanzate;Lesioni Decubiti;032T;lesioni decubiti
2609;Medicazione semplice;Medicazione;031T;medicazione
2610;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
2611;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fleboclisi;016T;fleboclisi
2612;Cure Palliative;Assistenza in cure palliative;122R;assistenza in cure palliative
2613;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
2614;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2615;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2616;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi e da accessi vascolari centrali;077T;prelievi venosi e da accessi vascolari centrali
2617;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;033T;terapia ev
2618;Cure Palliative;Reperire accessi venosi;077T;reperire accessi venosi
2620;Medicazione semplice;MEDICAZIONE;031T;medicazione
2621;Medicazione semplice;Medicazione;031T;medicazione
2622;Medicazioni Avanzate;medicazioni;031T;medicazioni
2623;Medicazione semplice;medicazione;031T;medicazione
2624;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione ccv;077T;gestione ccv
2625;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
2626;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
2627;PAI, pianificazione, valutazione;Interventi di supporto;122T;interventi di supporto
2628;procedure clinico assistenziali;somministrazione terapia orale;019T;somministrazione terapia orale
2629;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2630;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione terapia per via endovenosa o sottocutanea;019T;infusione terapia per via endovenosa o sottocutanea
2631;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
2632;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
2633;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
2634;procedure clinico assistenziali;terapia farmacologica;019T;terapia farmacologica
2635;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2636;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
2637;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2638;Educazione Sanitaria;COLLOQUIO;122R;colloquio
2639;Medicazioni Avanzate;medicazione di lesioni;032T;medicazione di lesioni
2640;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2641;Educazione Sanitaria;Educazione;122R;educazione
2642;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA ENDOVENOSA;016T;terapia endovenosa
2643;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;033T;prelievi venosi
2644;Medicazioni Avanzate;Medicazioni LDP;031T;medicazioni ldp
2645;Medicazioni Avanzate;medicazioni;031T;medicazioni
2646;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovena;016T;terapia endovena
2647;Monitoraggi e Misurazioni;Parametri;004T;parametri
2648;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
2649;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2650;Medicazione semplice;Medicazione ferite;031T;medicazione ferite
2651;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2652;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2653;Medicazioni Avanzate;Medicazioni LDP;032T;medicazioni ldp
2655;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2656;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVI EMATICI;033T;prelievi ematici
2657;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2658;procedure clinico assistenziali;Gestione Cateteri Vescicali;065T;gestione cateteri vescicali
2659;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venoso;033T;prelievo venoso
2660;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Flebo;016T;flebo
2661;procedure clinico assistenziali;Cambio catetere;065T;cambio catetere
2662;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2664;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
2665;Medicazioni Avanzate;medicazioni complesse;032T;medicazioni complesse
2666;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
2667;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2668;Medicazioni Avanzate;Medicazione lesione da pressione;032T;medicazione lesione da pressione
2669;procedure clinico assistenziali;Somm.ne terapia farmacologica;019T;sommne terapia farmacologica
2670;Medicazioni Avanzate;medicazioni;031T;medicazioni
2671;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
2672;procedure clinico assistenziali;Somministrazione terapia;019T;somministrazione terapia
2673;procedure clinico assistenziali;Terapia im;019T;terapia im
2674;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2675;Medicazioni Avanzate;Medicazioni lesioni;032T;medicazioni lesioni
2676;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2677;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovena;019T;terapia endovena
2678;Medicazione semplice;Medicazioni lesioni varie;019T;medicazioni lesioni varie
2679;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2680;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
2681;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2682;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2683;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione Endovenosa;019T;infusione endovenosa
2684;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2686;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2687;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2688;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2689;procedure clinico assistenziali;Somministrazione terapia farmacologica orale e intramuscolo;019T;somministrazione terapia farmacologica orale e intramuscolo
2690;procedure clinico assistenziali;somministrazione terapia farmacologica;019T;somministrazione terapia farmacologica
2691;procedure clinico assistenziali;Somministrazione farmaci;019T;somministrazione farmaci
2692;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016T;terapia infusionale
2693;procedure clinico assistenziali;somministrazione delle terapie;019T;somministrazione delle terapie
2694;procedure clinico assistenziali;somministrazione farmaci;019T;somministrazione farmaci
2695;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
2696;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2697;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fleboterapia;016T;fleboterapia
2698;Medicazione semplice;Medicazioni arti inferiori e superiori;031T;medicazioni arti inferiori e superiori
2699;Medicazioni Avanzate;Medicazioni di lesione cutanee;031T;medicazioni di lesione cutanee
2700;Medicazioni Avanzate;Medicazione lesioni da decubito;031T;medicazione lesioni da decubito
2701;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016T;infusioni
2702;Medicazioni Avanzate;Medicazioni Ldp;032T;medicazioni ldp
2703;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
2704;Cure Palliative;cure palliative;178R;cure palliative
2705;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2706;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
2707;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2708;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni ev;019T;infusioni ev
2709;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;019T;infusioni
2710;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2712;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2713;procedure clinico assistenziali;Catetere vesc;065T;catetere vesc
2714;Medicazioni Avanzate;Medicazioni ulcere;031T;medicazioni ulcere
2715;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2716;Medicazioni Avanzate;Medicazione;031T;medicazione
2717;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;031T;terapia endovenosa
2718;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2719;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2720;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2721;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionsle;031T;terapia infusionsle
2722;Medicazione semplice;Medicazione chirurgica;031T;medicazione chirurgica
2723;Medicazione semplice;Medicazione ferita chirurgica;031T;medicazione ferita chirurgica
2724;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
2725;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;031T;terapia endovenosa
2726;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
2727;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2728;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2729;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione;031T;infusione
2730;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2731;Medicazioni Avanzate;Medicazioni lesioni da compressione;031T;medicazioni lesioni da compressione
2732;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;031T;terapia endovenosa
2733;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2734;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
2735;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
2736;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazione picc;031T;medicazione picc
2737;Medicazione semplice;Medicazione picc/midline;031T;medicazione piccmidline
2738;procedure clinico assistenziali;Impianti vascolari venosi Pixx;031T;impianti vascolari venosi pixx
2739;Medicazioni Avanzate;Medicazione LDP;031T;medicazione ldp
2740;Medicazioni Avanzate;Ldp;031T;ldp
2741;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione picc e midline;031T;medicazione picc e midline
2742;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
2743;procedure clinico assistenziali;Cambio peg;046T;cambio peg
2744;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazioni PICC;031T;medicazioni picc
2745;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione picc;031T;medicazione picc
2747;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2748;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2750;procedure clinico assistenziali;cambio cv;065T;cambio cv
2751;Medicazioni Avanzate;medicazioni piaghe da decubito semplici;032T;medicazioni piaghe da decubito semplici
2753;Monitoraggi e Misurazioni;Rilevazione PARAMETRI;004T;rilevazione parametri
2754;procedure clinico assistenziali;broncoaspirazione;045T;broncoaspirazione
2755;procedure clinico assistenziali;Gestioni accessi centrali;007T;gestioni accessi centrali
2756;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
2758;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2759;procedure clinico assistenziali;Aspirazione;045T;aspirazione
2760;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2761;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2762;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2763;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2764;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2765;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
2766;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2767;Monitoraggi e Misurazioni;Rilevazioni parametri;004T;rilevazioni parametri
2768;Monitoraggi e Misurazioni;RILEVAZIONE PARAMETRI;004T;rilevazione parametri
2769;Monitoraggi e Misurazioni;Misurazione PV;004T;misurazione pv
2770;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2771;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;019T;fleboterapia
2772;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
2773;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;019T;fleboterapia
2774;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2775;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2776;PAI, pianificazione, valutazione;Visita per nuova presa in carico;122R;visita per nuova presa in carico
2777;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO;033T;prelievo
2778;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi a Domicilio;033T;prelievi a domicilio
2779;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2780;Medicazioni Avanzate;Medicazione decubito;031T;medicazione decubito
2781;Medicazioni Avanzate;Medicazioni semplici e complesse;031T;medicazioni semplici e complesse
2782;procedure clinico assistenziali;Cure igeniche;105T;cure igeniche
2784;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2785;procedure clinico assistenziali;Gestione niv;031T;gestione niv
2786;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2787;Medicazione semplice;Medicazione peg;045T;medicazione peg
2788;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Preluevi;033T;preluevi
2789;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2791;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2792;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi domiciliari;033T;prelievi domiciliari
2794;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
2795;procedure clinico assistenziali;Somministrazione medinali;019T;somministrazione medinali
2796;procedure clinico assistenziali;Cure igieniche;105T;cure igieniche
2797;PAI, pianificazione, valutazione;analisi dei bisogni;122R;analisi dei bisogni
2798;Medicazioni Avanzate;Medicazioni ldp;032T;medicazioni ldp
2799;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2800;PAI, pianificazione, valutazione;VALUATAZIONE INFERMIERISTICA;122R;valuatazione infermieristica
2801;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2803;procedure clinico assistenziali;Aspirazione tracheobronchiali;045T;aspirazione tracheobronchiali
2804;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
2805;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
2806;Medicazioni Avanzate;Medicazioni semplici e complesse;031T;medicazioni semplici e complesse
2807;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
2808;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
2809;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
2810;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2811;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2812;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016T;terapia infusionale
2813;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
2814;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2815;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematochimici;033T;prelievi ematochimici
2816;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematochimici;033T;prelievi ematochimici
2819;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2820;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
2821;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2823;procedure clinico assistenziali;cure igieniche;105T;cure igieniche
2824;Medicazioni Avanzate;mediczioni ldp;032T;mediczioni ldp
2826;procedure clinico assistenziali;terapiai nfusionale;016T;terapiai nfusionale
2827;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2828;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
2829;Medicazioni Avanzate;medicazioni ldp;031T;medicazioni ldp
2830;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2831;procedure clinico assistenziali;gestione alvo;154R;gestione alvo
2832;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
2833;Medicazione semplice;medicazioni arti inferiori;031T;medicazioni arti inferiori
2834;Medicazione semplice;medicazioni semplici;031T;medicazioni semplici
2835;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2836;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
2837;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016T;terapia infusionale
2838;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2839;procedure clinico assistenziali;CV;065T;cv
2840;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia EV;016T;terapia ev
2843;procedure clinico assistenziali;Cure igieniche;105T;cure igieniche
2844;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2845;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2846;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2847;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2850;procedure clinico assistenziali;somministrazione farmaci;019T;somministrazione farmaci
2851;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
2852;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2853;procedure clinico assistenziali;Cure igienche;105T;cure igienche
2854;procedure clinico assistenziali;Aspirazione bronchiale;045T;aspirazione bronchiale
2855;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2856;procedure clinico assistenziali;Igiene;105T;igiene
2857;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2858;procedure clinico assistenziali;Cure igieniche;105T;cure igieniche
2861;procedure clinico assistenziali;Igiene;045T;igiene
2862;procedure clinico assistenziali;Aspirazioni e broncoaspirazioni;045T;aspirazioni e broncoaspirazioni
2863;Medicazioni Avanzate;Medicazioni;045T;medicazioni
2864;procedure clinico assistenziali;Mobilitazione paziente;091T;mobilitazione paziente
2865;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2866;procedure clinico assistenziali;Brocoaspirazioni;045T;brocoaspirazioni
2868;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2869;Medicazioni Avanzate;medicazioni;031T;medicazioni
2870;Medicazione semplice;medicazioni semplice;031T;medicazioni semplice
2871;procedure clinico assistenziali;Gestione tracheostomia;031T;gestione tracheostomia
2872;Medicazioni Avanzate;Medicazione per lesioni da decubito;032T;medicazione per lesioni da decubito
2874;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2875;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2876;Medicazioni Avanzate;medicazioni lesioni da pressione;031T;medicazioni lesioni da pressione
2877;PAI, pianificazione, valutazione;analisi dei bisogni;122T;analisi dei bisogni
2879;PAI, pianificazione, valutazione;ANALISI DEI BISOGNI;122R;analisi dei bisogni
2880;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2881;PAI, pianificazione, valutazione;analisi dei bisogni;122R;analisi dei bisogni
2882;Medicazioni Avanzate;Medicazioni ulcere;031T;medicazioni ulcere
2883;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2884;Medicazioni Avanzate;medicazioni semplice e complesse;031T;medicazioni semplice e complesse
2885;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico venoso;033T;prelievo ematico venoso
2886;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2887;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
2888;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2889;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Accesso venoso;033T;accesso venoso
2891;procedure clinico assistenziali;posizionamento e sostituzione sondino naso gastrico;016T;posizionamento e sostituzione sondino naso gastrico
2892;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;019T;terapia infusiva
2893;Medicazioni Avanzate;medicazioni ldp;032T;medicazioni ldp
2894;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2898;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelieve venoso;033T;prelieve venoso
2899;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;pr ematici;033T;pr ematici
2906;Medicazioni Avanzate;med aa inf;032T;med aa inf
2909;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2917;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2919;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;019T;terapia ev
2920;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;019T;terapia ev
2921;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fleboclisi;019T;fleboclisi
2922;Medicazioni Avanzate;medicazioni ldp;032T;medicazioni ldp
2923;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cv;065T;gestione cv
2924;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2925;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2926;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2927;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2928;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2929;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2930;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2931;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2945;Monitoraggi e Misurazioni;parametri vitali;004T;parametri vitali
2946;Monitoraggi e Misurazioni;PARAMETRI VITALI;004T;parametri vitali
2947;Medicazione semplice;Medicazioni tracheotomia;046T;medicazioni tracheotomia
2948;Medicazioni Avanzate;MEDICAZIONI;031T;medicazioni
2949;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
2950;Medicazioni Avanzate;medicazioni multiple complesse;032T;medicazioni multiple complesse
2952;Medicazioni Avanzate;Medicazione decubito;032T;medicazione decubito
2953;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
2954;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;019T;terapia endovenosa
2955;procedure clinico assistenziali;Sostituzione Cv;065T;sostituzione cv
2956;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
2957;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2958;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2959;Medicazione semplice;Medicazione;031T;medicazione
2960;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2961;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
2962;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2963;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
2964;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
2965;procedure clinico assistenziali;Farmaci EV IM Sc;019T;farmaci ev im sc
2966;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo;033T;prelievo
2967;Monitoraggi e Misurazioni;monitoraggio sintomi;122R;monitoraggio sintomi
2968;Monitoraggi e Misurazioni;Monitoraggio  sintomi;122R;monitoraggio  sintomi
2969;Monitoraggi e Misurazioni;Valutazione infermieristica ed educaIone;122R;valutazione infermieristica ed educaione
2970;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2971;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie iniettive;019T;terapie iniettive
2972;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2973;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
2974;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2975;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
2976;PAI, pianificazione, valutazione;Visita domiciliari  con presa in carico;122R;visita domiciliari  con presa in carico
2977;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
2978;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2979;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2980;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ricorrenti e non;033T;prelievi ricorrenti e non
2981;Medicazioni Avanzate;medicazioni;031T;medicazioni
2982;Medicazioni Avanzate;medicazioni;031T;medicazioni
2983;Medicazioni Avanzate;Medicazioni;031T;medicazioni
