testo_pulito;count
educazione stomia;1
educazione stomie;1
educazione su posture;1
educazione su terapia orale im sc;1
educazione sulla mobilizzazione del paziente;1
educazione sanitariaalimentazione alvo mobilitàcura e igiene;1
educazione sanitariaprevenzione;1
educazione sanitariarinforzo;1
educazione sanitariasupporto alla famiglia;1
educazione sanitariasupporto psicologico allassistito al caregiver e familiari;1
educazione socio assistenziale e prevenzione udp;1
educazione sociosanitari a e terapeutica;1
educazione sociosanitaria;1
educazione terapeutica al caregiver o al paziente stesso;1
educazione terapeutica al caregiverassistito;1
educazione terapeutica al paziente e ai care giver eo familiari;1
educazione terapeutica alla gestione del catetere vescicale;1
educazione terapeutica assistitocaregiver;1
educazione terapeutica dei caregiver;1
educazione terapeutica e sanitaria;1
educazione terapeutica farmacologica;1
educazione alla gestione di vari dispositivi;1
educazione alla gestione peg;1
educazione alla gestione stomia;1
educazione alla gestione terapia;1
educazione alla mobilitazione del paziente e alligiene;1
educazione terapeuitca;1
educazione terapeutica ad assistito eo caregiver in relazione ai diversi bisogni;1
educazione terapeutica ai bisogni  assistocaregiver;1
educazione alla gestione delle dermatiti da pannolino;1
educazione alla gestione delle npt;1
educazione alla gestione delle varie procedure;1
educazione alla gestione di cateteri;1
educazione alla gestione di pegstomie;1
educazione alla gestione di sonde e drenaggi;1
educazione alla gestione di stomie;1
educazione alla gestione di una terapia;1
educazione alla gestione del sng;1
educazione alla gestione dell utente allettato igiene;1
educazione alla gestione della peg;1
educazione alla gestione della peg e cambio peg;1
educazione alla gestione della sacca npt;1
educazione alla gestione della stomia;1
educazione alla gestione della terapia;1
educazione alla gestione della terapia e riconoscere dei sintomi non controllati;1
educazione tp enterale;1
educazione trasferimento competenze caregiver;1
educazione urinaria;1
educazione uso di glucometro;1
educazione utente;1
educazione utentecaregiver;1
educazione utenticare giver;1
educazione varia care givers e assistiti;1
educazione terapeutiche;1
educazione terapeutico;1
educazione terapeutico in relazione ai bisogni assistitocaregiver;1
educazione terapeutico sanitaria;1
educazione terapia enterale;1
educazione terapia enterale sng;1
educazione terapia nutrizionale enterale;1
educazione terapia sc;1
educazione terapeutica su gestione medicazioni eo device;1
educazione terapeutica trachestomia;1
educazione terapeutica utente;1
educazione terapeutica vam;1
educazione terapeutica volta allassistito e alla sua famiglia;1
educazione terapeuticaaddestramento;1
educazione terapeuticacaregiver;1
educazione terapeuticasanitaria;1
educazione terapeutica in relazione ai bisogni asscargiver;1
educazione terapeutica in relazione ai bisogni assistito care giver;1
educazione terapeutica in relazione ai bisogni assistito caregiver;1
educazione terapeutica in relazione al bisogno rilevato;1
educazione terapeutica informazione e attivazione pz care giver supporto e sorveglianza nel tempo;1
educazione terapeutica prevenzione  decubito e stipsi;1
educazione terapeutica prevenzione counseling sorveglianza infermieristica rivalutazione;1
educazione terapeutica sanitaria;1
einläufedrainspülungenpegversorgungen usw;1
elaborazione dati;1
elasto compressioni;1
elastomeri antalgici;1
elastomero analgosedativosedativoterminale;1
elastomero in pz in cure palliative;1
elementi di educazione sanitaria;1
elenco delle richieste da far compilare almmg;1
effettuazione clistere evacuativo;1
effettuazione di clismi evacuanti ed addestramento ai caregiver per prevenzione e trattamento stipsi;1
effettuazione di clismi evacuativi;1
effettuazione di elettrocardiogrammi;1
effettuazione di ipodermoclisi;1
effettuazione elettrocardiogramma a domicilio;1
effettuazioni clisma evacuativo;1
effettuazioni tampone antigenico;1
educazionegestione alimentazione;1
educazioneinsegnamento;1
educazioneinsegnamento al familiare;1
educazioni al caregiver;1
educazioni sanitari per qualsiasi bisogno;1
educazioni terapeutiche pz care giver;1
educazuione terapeutica in relazione ai  bisogni assistitocaregiver;1
edukation patient und vor allem angehörige;1
educazioneaddestramento care giver;1
educazioneaddestramento care givers;1
educazioneaddestramento del caregiver;1
educazioneaddestramento pazienticaregiver;1
educazioneaddestrato care giver;1
educazioneformazione;1
educazioneformazione assistito e care giver;1
educazioneformazione sulla gestione terapeutica;1
educazione alla cura della cute;1
educazione alla cura della persona;1
educazione alla cura della persona per la prevenzione di ldp;1
endovenosa;1
enteroclismi e sua gestione;1
enteroclismo;1
eparina;1
esami;1
educazione al pz e care giver;1
educazione al pz e cargiver;1
educazione al pz eo care giver;1
educazione al pz o al caregiver;1
educazione al pzcaregiver;1
educazione all igiene della stanza;1
educazione all integrità cutanea medicazione;1
educazione alla corretta mobilizzazione per la prevenzione delle lesioni cutanee;1
educazione al carg ghiver;1
educazione al corretto utilizzo degli ausili e della mobilizzazione del paziente;1
educazione al csregiver al riconoscimento di alterazioni e complicanze;1
educazione al gare ghiver;1
educazione al paziente e al care giver;1
educazione al paziente e al caregiver;1
educazione al pazientefamiliari rispetto a determinate procedure;1
educazione al pz;1
elettrocardiogramme;1
endovene e intramuscolo;1
educazione al caregiver su gestione mobilizzazione;1
educazione al caregiver su mobilizzazione e postura;1
educazione al caregiver sulla prevenzione delle lesioni cutanee;1
educazione al caregiver trasferimento competenze;1
educazione al caregiver utilizzo presidi;1
educazione al caregiver x terapie edispositivi;1
esecuzione di prelievi venosi e microbiologici tamponi rettali cutanei;1
esecuzione doppler arti inferiori;1
esecuzione e gestione esami di laboratorio;1
esecuzione ega;1
esecuzione egc;1
esecuzione elettrocardiogramma;1
esecuzione emotrasfusioni;1
esecuzione esame ecg;1
esecuzione della medicazione;1
esecuzione di cl evacutivi;1
esecuzione di ecg;1
esecuzione di ecg e rilevazione pv;1
esecuzione di esami ematici;1
esecuzione di medicazioni semplici e complesse chirurgiche da pressione di nnd;1
esecuzione di pratiche occasionali perette;1
esecuzione di prelievi ematici;1
esecuzione bendaggi elastocompressivi;1
esecuzione clismi evacuativi;1
esecuzione clistere evacuativi;1
esecuzione clistere evaquativo;1
esecuzione clisteri;1
esecuzione clisteri con sonda;1
esecuzione clisteri evacuanti;1
esecuzione clisteri evacuativi;1
esami di laboratorio semplici e prelievi di campioni per esami ematochimici e colturali;1
esami ematici e urine;1
esami ematochimici e tamponi colturali;1
esami ematochimici e tamponi culturali;1
esami emocolturali;1
esami sangue e urina;1
esami strumentali ematici;1
esecuzione antibiotico terapia ev;1
esecuzione terapie im e sc;1
esecuzione urinocolture;1
esecuzioni clisteri;1
esecuzioni di ecg a domicilio in pazienti non trasportabili;1
esecuzioni terapie endovenose con reperimento di accesso venoso periferico;1
eseguire clisteri e evacuazione digitale;1
espertizazione dei care giver;1
esplorazione rettale e rettòclisi evacuativa;1
esecuzione sottocute;1
esecuzione tamponi colturali e prelievi ematici;1
esecuzione tamponi covid;1
esecuzione terapia;1
esecuzione terapia endovenosa;1
esecuzione terapia endovenosa npt reidratante farmaci;1
esecuzione terapia ev;1
esecuzione terapia intramuscolare;1
esecuzione prelievi ematochimici e biologici;1
esecuzione prelievi ev;1
esecuzione prelievi tao;1
esecuzione prelievi venosi occasionali e periodici;1
esecuzione prelievo ematico arterioso;1
esecuzione prelievo venoso;1
esecuzione prelivi ematici;1
esecuzione prestazione occasionale di prelievo venoso;1
esecuzione esami colturali;1
esecuzione fleboclisi;1
esecuzione fleet;1
esecuzione indagini biomurali;1
esecuzione medicazioni;1
esecuzione medicazioni semplici e complesse di lesioni vascolari neoplastiche ecc;1
esecuzione occasionale tamponi molecolari per covid sars;1
esecuzione prelievi ematici ed altre indagini di laboratorio;1
fasciaturebendaggi;1
fasciaturebendaggi adesivi e elastici;1
fasciaturebendaggi adesivi ed elastici;1
feboclisi;1
ferita chirurgica;1
ferite chirurgi;1
ferite chirurgiche e rimozione punti sutura;1
ferite oncologiche;1
fasciature bendaggio;1
fasciature compressive;1
fasciature e bendaggi elastocompressivi;1
fasciature elastocompressive;1
fasciature elastocompressive e non;1
fasciature o bendaggi;1
fasciature semplci;1
fasciature semplici e bendaggi;1
fasciatura elasto compressiva;1
fasciatura semplici;1
fasciatura semplici e bendaggi;1
fasciatura vascolare arti inferiori;1
fasciaturabendaggio;1
fasciature  semplici;1
fasciature bendaggi;1
fasciature bendaggi adesivi e elastici;1
esplorazione rettaleclistere evacuativo;1
evacuazione  gestione c vescicale;1
f;1
facilitatore medico paziente;1
facilitazioni ai servizi sanitari;1
farmaci ev im sc;1
farmaci via sottocutanea;1
fasciatura  bendaggio;1
educazione al caregiver nelle varie situazioni;1
educazione al caregiver presidi assistenziali;1
ferite traumatiche;1
fine vita;1
flebboclisi;1
flebloclisi;1
flebo clisi;1
flebo per terapia;1
educazione al care giver gestione tacheostomia;1
educazione al care giver mobilizzazione e prevenione;1
educazione al care giver utilizzo presidi;1
educazione al caregiver alla gestione paziente;1
educazione al caregiver e paziente;1
educazione al caregiver e paziente nella gestione sintomi refrattari gestione intima sottocutanea terapia sottocute ecc;1
educazione al caregiver familiari;1
educazione al caregiver mobilizzazione e prevenzione;1
educazione ai care giver riguardo la gestione della nutrizione a domicilio;1
educazione ai caregiver;1
educazione ai caregiver famigliari;1
educazione ai cg;1
educazione ai fae caregiver;1
educazione ai famigliari relativo a terapie anticipate medicazioni gestione delle adl paziente con disabilità o allettamento;1
educazione ai famigliari terapia sc;1
educazione al care giver gestione peg;1
educazione a care give per gestione catetere vescicale a domicilio;1
educazione a corretta applicazione delle indicazioni farmacologiche o terapeutiche affidate al care giver;1
educazione a corretti stili di vita;1
educazione a pazienti e caregiver;1
educazione addestramento;1
educazione addestramento  care giver;1
educazione addestramento al care giver;1
educazione addestramento gestione device;1
formazione  caregiver;1
formazione addestramento care;1
formazione care giver;1
formazione care givers;1
formazione dei care giver;1
formazione del care giver;1
formazione del care giver preparazione terapia orale;1
formazione e addestramento alla gestione di cateteri sonde drenaggi;1
fleboterapia ipodermoclisi;1
fleboterapia o ipodermoclisi;1
flecoclisi;1
fluidoterapia  in endovenosa e ipodermoclisi;1
follow up;1
follow up di prestazioni effettuate da altri;1
followup telefonici;1
formazione;1
fleboclisi ipodermoclisi;1
fleboclisi per idratazione;1
fleboclisi reperire accessi venosi;1
fleboclisi sc;1
fleboclisi scevim;1
fleboclusi;1
fleboterapa;1
fleboterapia evsc;1
flebo punture prelievi;1
flebo sottocutane;1
flebo terapie;1
fleboclici;1
fleboclisi  o terapie endovenose;1
fleboclisi e posizionamento agocannula;1
fleboclisi ev e sc;1
fleboclisi in vena;1
gestine e sostituzione peg;1
gestine entorostomie;1
gestiobe sng;1
gestiome cateteri venosi centrali;1
gestione   peg picc  porth;1
gestione  accessi venosi centrali  e periferici;1
gestione  accessi venosi centrali picc porth minimidline;1
gestione  accessi venosi centrali port e picc;1
gesione cateteri vesciali;1
gesione cv;1
gesrione cv;1
gest cateterismo urinario;1
gest cvc;1
gest stomia;1
gest tracheo;1
gestiione educazione tracheostomie;1
formazone caregiver;1
fornire materiale;1
fornire un sostegno continuativo alla famiglia;1
frz;1
garantire terapia venosasottocutanea;1
gcv;1
gcvc;1
gesione accessi venosi centrali;1
formazione e addestramento alla gestione e somministrazione terapia;1
formazione e addestramento alla prevenzione di ucp;1
formazione e insegnamento ai familiari e caregiver;1
formazione ed educazione sanitaria al pz e caregiver;1
formazione fare giver;1
formazione farmaci salvavita;1
formazione gestione diabete;1
formazione nella gestione di infusione ev;1
gestione  terapia ev;1
gestione accesdi venosi;1
gestione accesi venosi periferici picc;1
gestione accessi;1
gestione accessi centrali educazione;1
gestione accessi centrali periferici;1
gestione accessi centrali picc  port a cath ;1
gestione accessi enterali;1
gestione  ne npt;1
gestione  nutrizione enterale;1
gestione  nutrizione parenterale;1
gestione  peg  com medicazioni e cambio;1
gestione  sng;1
gestione  sost cv;1
gestione  sostituzione catetere vescicali;1
gestione  sostituzione cv;1
gestione  e sostituzioni gastrostomie percutanea e alimentazione;1
gestione  ed educazione nad nptpeg;1
gestione  educazione alvo;1
gestione  educazione peg  sng;1
gestione  educazione stomie;1
gestione  educazionetracheo;1
gestione  infusioni;1
gestione  midline;1
gestione  cateteri vascolari;1
gestione  cateteri vescicali;1
gestione  cateterismo vescicale e addestramento alla gestione ed al controllo dello stesso;1
gestione  drenaggi;1
gestione  e addestramento sng  gestione  e addestramento peg  net;1
gestione  e medicazioni lddp;1
gestione  e posizionamento catetere vescicale;1
gestione  e sostituzione catetere vescicale;1
gestione accessi venosi centrali e periferici e infusioni;1
gestione accessi venosi centrali e periferici midline;1
gestione accessi venosi centrali e perifericxi;1
edgestione catetere vescicale  urocolonstomie  drenaggi;1
edicazione;1
edicazione del care give;1
edicazione sanitaria ambulatori infermieristici stomizzati;1
edizione sanitaria;1
gestione accessi venosi  medicazione picc e midline ;1
gestione accessi venosi  picc porth ;1
gestione accessi venosi  stabili;1
gestione accessi venosi a permanenza;1
gestione accessi venosi centali  port cath picc midline;1
gestione accessi venosi centrale medicazione  terapia;1
gestione accessi venosi centrali e cvp;1
gestione accessi venosi centrali e periferici cvcport picc midline;1
gestione accessi vascolari periferici centrali e sottocutanei;1
gestione accessi vascolari tipo picc;1
gestione accessi vasolari centrali e periferici;1
gestione accessi vendite centrali;1
gestione accessi venisi centrali;1
gestione accessi venoci centrali;1
gestione accessi venodi;1
gestione accessi venosi  centrali;1
gestione accessi parenterali;1
gestione accessi periferici e centrali;1
gestione accessi sottocutanei;1
gestione accessi vascolari  picc porth piccporth medline ficc;1
gestione accessi vascolari centrali e posizionamento e gestione periferici;1
gestione accessi vascolari e linee infusive;1
gestione accessi vascolari e periferici;1
gestione accessi vascolari periferici;1
gestione accessi venosi centrali e relative terapie;1
gestione accessi venosi centrali e venosi;1
gestione accessi venosi centrali picc cvc  portha cat;1
gestione accessi venosi centrali piccporth;1
gestione accessi venosi centralipicc;1
gestione accessi venosi centralipiccporth ecc;1
gestione accessi venosi crntrali;1
gestione accessi venosi cvc porth a cath picc midline;1
educazione  corretta gestione delle derivazioni urinarie;1
educazione  e supporto care giver;1
educazione  prevenzione;1
educazione  profilassi;1
educazione  sanitaria care giver;1
educazione  teorica e pratica attivita nursing;1
educazione  terapeutica;1
educazione  trasferimento competenze;1
educare indirizzare famigliari e care giver allusi corretto di tecniche per il posizionamento attivo e passivo;1
educativi ai familiari su posture movimentazioni;1
educazionale a familiari e assistenti private;1
educazionale care giver;1
educazione   sanitaria;1
educazione  addestramento;1
educazione  alvo ed esecuzione clismi;1
educazione  care giver;1
edsan;1
edsanitaria ai familiari;1
edsanitaria care giver e familiari;1
edt in relazione ai bisogni assistitocare giver;1
educ sanit lal pz e contesti per gestione pz fragili e complessi a domicilio prevenzione di lccaduteed eventi avversi;1
educ sanitaria;1
educ terap in relazione ai bisogni assistito caregiver;1
educare il care;1
gestione accesso ev sc;1
gestione accesso venosi periferici;1
gestione accesso venosi stabili;1
gestione accesso venoso centrale e periferico;1
gestione accesso venoso centrale picc con medicazione e lavaggio;1
gestione accesso venoso centrale picc midline port a cath;1
gestione accesso venoso stabile;1
gestione accompagnamento del paziente terminale in equipe con le cure palliative o soli se non attivate;1
gestione accessi venosi sotto cute;1
gestione accessi venosi sottocutanei;1
gestione accessi venosi stabili picc midline portacath;1
gestione accessi venosi stabilie  non;1
gestione accessi venosi terapia idratante endovenosa e sottocutanea;1
gestione accessi venosi tipo picc e midline;1
gestione accessi venpsi periferici;1
gestione accesso centrali;1
gestione accessi venosi perifericicentrali e fleboclisi;1
gestione accessi venosi perifericie sottocutanei;1
gestione accessi venosi peroferoci;1
gestione accessi venosi picc mid line;1
gestione accessi venosi picccvc;1
gestione accessi venosi piccmidlineporthcvc;1
gestione accessi venosi preiferici;1
gestione accessi venosi profondi;1
gestione accessi venosi e periferici;1
gestione accessi venosi e prelievi ematici;1
gestione accessi venosi impiantati;1
gestione accessi venosi perif e centrali;1
gestione accessi venosi periferici e fleboterapia;1
gestione accessi venosi periferici e relative terapie;1
gestione accessi venosi periferici ev e sottocute;1
gestione accessi venosi periferici o sottocutanei;1
gestione alvoenterostomie;1
gestione alvostomie;1
gestione apparato intestinale;1
gestione auto aziendale cambio gomme;1
gestione avc avp;1
gestione bambini diabetici;1
gestione bendaggi elastici;1
gestione c vescicali;1
gestione alvo comprese le enterostomie;1
gestione alvo con educazione alimentare stomie peg tracheotomia;1
gestione alvo e catetere vescicali;1
gestione alvo e colonstomie;1
gestione alvo e derivazioni;1
gestione alvo e diuresi;1
gestione alvo e enterostomie;1
gestione alvo flitclisma;1
gestione altri di medicazioni  ferite chirurgiche lesioni vascolari ecc;1
gestione alvo  clisma irrigazioni ecc;1
gestione alvo canalizzazione su prescrizione;1
gestione alvo cavo orale presidi respiratori stomie;1
gestione alvo clisma evacuativo;1
gestione alvo clistere evacuativo;1
gestione alvo clistere evacuativo ect;1
gestione alvo clisteri evacuativi ecc;1
gestione acessi venosi centrali;1
gestione ago evsc;1
gestione alimentazione;1
gestione alimentazione disfagia enterale parenterale;1
gestione alimentazione per os;1
gestione alimentazioni entrali e parenterali ecccc;1
gestione alimentazioni parenterale;1
gestione altri device peg tracheo;1
gestione catetere centrale e periferico;1
gestione catetere centrale venoso;1
gestione catetere centralenpt;1
gestione catetere periferico;1
gestione catetere sovrapubico;1
gestione catetere urinario;1
gestione catetere urinario e sue derivazioni;1
gestione catetere veacicale;1
gestione caterere;1
gestione catereri vescicale gestione urostomie ;1
gestione catereteri vescicalisomie;1
gestione cateri vescicali;1
gestione caterismi vescicali e stomie e peg;1
gestione catersmo vescicale;1
gestione catetei venosi centrali;1
gestione catetere accessi venosi centrali e periferici;1
gestione casi uvmsocio sanitari;1
gestione cat venosi centrali;1
gestione cat venoso periferico;1
gestione cat vesc;1
gestione catatere venoso centrale;1
gestione catatere vescicale;1
gestione catere venoso centrale;1
gestione catere venoso periferico;1
gestione cambio cv;1
gestione cambio peg;1
gestione cannula tracheostomica;1
gestione cannula tracheostomie;1
gestione cannula venosa centrale;1
gestione canule centrali;1
gestione canule tracheali;1
gestione cartelle;1
edcounseling terapeutico;1
edeucazione al care giver alla prevenzione udp;1
gestione catetere venosi centrali e periferici;1
gestione catetere venosi centrali inseriti perifericamente picc o midline;1
gestione catetere venosi centrali sistport_a_catpicc;1
gestione catetere venosi centraliperiferici;1
gestione catetere venosi periferici;1
gestione catetere venoso centrale o porth;1
ed care giver gestione stomie;1
ed sanitaria al caregiver;1
ed sanitaria al contesto;1
ed sanitaria al pz e al care giver;1
edaucazione sanitaria;1
edcounseliggestione ldp  ulcere trofiche    lesioni chirurgiche;1
edcounseling alimentazione   disfagia  peg;1
edcounseling respirazione  ossigeno terapia;1
dokumentation;1
dolore cronico;1
domande circolari sistemiche;1
drenaggi addominali;1
drenaggi gestione peg  e tracheo;1
drenaggio lesioni;1
drenaggio toracicoaddominale;1
drenaggio vari;1
dimissioni protette;1
discussione caso con altri professionisti coinvolti;1
disinfezione;1
distribuzione materiale per medicazioni o terapie varie;1
documentazione e paiano assistenza;1
documentazione e piano assistenza;1
documentazione e piano di assistenza;1
documentazione infermieristica;1
gestione cateteri  vescicali;1
gestione cateteri centrali  periferici;1
gestione cateteri centrali e non;1
gestione cateteri cescicali;1
gestione cateteri midline;1
gestione cateteri nefrostomici e sovrapubici;1
gestione cateteri nefrostromici;1
gestione cateteri vascicali;1
gestione catetere vescicale sostituzione addestramento caregiver;1
gestione catetere vescicale sostituzione rimozione controllo lavaggi;1
gestione catetere vescicale urostomie;1
gestione catetere vescicaledrenaggi;1
gestione catetere vescicalestomiesngpeg;1
gestione catetere vescicate;1
gestione catetere vescicsle;1
gestione catetere vescuacale;1
gestione catetere vescicale  e sostituzione;1
gestione catetere vescicale a permanenza  sostituzione;1
gestione catetere vescicale derivazioni urinarie;1
gestione catetere vescicale e cistofix;1
gestione catetere vescicale e derivazioni urinarie;1
gestione catetere vescicale femminile e maschile;1
gestione catetere vescicale igiene posizionamento lavaggio;1
gestione catetere vescicale o derivazioni urinarie;1
gestione catetere venoso centrale picc  e portacarth;1
gestione catetere venoso centrrale;1
gestione catetere venoso periferico  cvp;1
gestione catetere venoso perifericocentrale;1
gestione catetere venso periferico;1
gestione catetere vesc;1
gestione catetere vesciale;1
gestione catetere vescicake;1
gestione cateterismo  urinario;1
gestione cateterismo urinarie comprese le derivazioni;1
gestione cateterismo veacicale;1
gestione cateterismo venoso;1
gestione cateterismo venoso periferico e centrale a inserzione periferica;1
gestione cateterismo vescicale  inserimento cambio;1
gestione cateterismo vescicale e derivazioni urinarie;1
gestione cateterismo vescicale e urostomie;1
gestione cateteri vescicali e derivazioni urologiche;1
gestione cateteri vescicali ed alvo;1
gestione cateteri vescicali periferci e profondi;1
gestione cateteri vescicali sovrapuvici;1
gestione cateteri vescicali venosi;1
gestione cateterino venoso centrale;1
gestione cateterismi venosi centrali;1
gestione cateterismiurostomie;1
gestione cateteri venosi centraliperifeici;1
gestione cateteri venosi centralipicc e porh;1
gestione cateteri venosi centraliport picc midline;1
gestione cateteri venosi vari;1
gestione cateteri vesc;1
gestione cateteri vescicale  venoso centrale;1
gestione cateteri vescicale drenaggio  stomie;1
gestione cateteri vescicale e mobilizzazione;1
gestione cateteri venole;1
gestione cateteri venosi centrale;1
gestione cateteri venosi centrali  picc midline port cath;1
gestione cateteri venosi centrali e canale endotracheali;1
gestione cateteri venosi centrali e non;1
gestione cateteri venosi centrali picc e port;1
gestione cateteri venosi centrali picc midline e port;1
gestione cateteri venosi centrali picc porth;1
gestione cv urocontrol;1
gestione cvc   picc cvc port ;1
gestione cvc  port e picc;1
gestione cvc a lungo termine;1
cure igienche;1
cure igieniche del paziente;1
cure igieniche del paziente ad alta intensità di cure;1
cure igieniche e mobilizzazione;1
gestione colostomieurostomie e pielostomie;1
gestione con pompe per npt da  alimentazione  in pz disfagici;1
gestione contesti difficili sociali in collaborazione con assistente sociale;1
gestione contesti sociali difficile attivando assistente sociale;1
gestione cure palliative;1
gestione cv lavaggio rimozione posizionamento;1
gestione cv periferici;1
gestione cv terapie infusive;1
gestione cistostimia;1
gestione clisma;1
gestione clisteri evacuativi;1
gestione colonstamie;1
gestione colonstomia in generale educazione al care giver;1
gestione colonstomieurostomie;1
gestione colostomie;1
gestione colostomie urostomie pielostomie;1
gestione cateterismo vescicalederivazioni urinarie;1
gestione catetete vescicale;1
gestione cateteteri venosi centrali;1
gestione cateteterismo vescicale;1
gestione catetre vescicale;1
gestione catetrismo vescicale;1
gestione ceteteri vescicali;1
gestione chemioterapie;1
gestione cvc e  cvp;1
gestione cvc e alimentazione parenterale;1
gestione cvc e infusione endovena;1
gestione cvc e infusione nutriz parenterale;1
gestione cvc e midline;1
gestione cvc ecvp;1
gestione cvc ed npt;1
gestione cvc medicazione e lavaggio;1
detersione e idratazione;1
device pegpicccateteri vescicali prelievi ematici;1
dialogo con i paz;1
didatticabed educazione sanitaria;1
dieta;1
digiunostomie;1
dilatazioni uretrali;1
gestione cvc adultibambini;1
cure piaghe da decubito;1
cvc gestione;1
dauerkatheterversorgung;1
definizione del pai;1
desutura ferita chirurgica;1
desuture;1
determinazione inr tramite prelievo capillare;1
detersione;1
cure pagliative;1
cure palliarive;1
cure palliative  dallprimo accesso del team fino allaccompagnamento al paz morente;1
cure palliative domiciliari;1
cure palliative ed elaborazione lutto;1
cure palliative visite congiunte;1
cure pallitive;1
cure piaghe;1
gestione degli accessi venosi periferici e centrali e sc;1
gestione dei acessi venosi;1
gestione dei cateteri centrali;1
gestione dei macchinari;1
gestione dei sintomi;1
gestione dei sng peg;1
gestione del catetere;1
gestione del cv;1
gestione cvp  sc  cvc;1
gestione cvp  sottocutanei;1
gestione cvp cvc;1
gestione cvp cvc picc e port;1
gestione cvp e sottocute;1
gestione cvp e terapia infusiva;1
gestione cvp prelievi ematici;1
gestione cvpcvc;1
gestione cvccvp;1
gestione cvce cvp;1
gestione cvcpicc;1
gestione cvcpiccmidlineport;1
gestione cvcpiccport;1
gestione cvcpicpeg;1
gestione cvcport a cath;1
gestione cvcportpicc;1
gestione cvc medicazione lavaggio;1
gestione cvc midline;1
gestione cvc midline e picc;1
gestione cvc midline picc;1
gestione cvc midline port picc e simili;1
gestione cvc picc midline;1
gestione cvc port medline;1
gestione cvc tipo midlinepicc;1
gestione della terapia sottocutanea;1
gestione della tpn;1
gestione della tracheostomia;1
gestione della tracheostomiia;1
gestione delle complicanze assistenziali;1
gestione delle funzioni inrestinali;1
gestione delle funzioni urinarie;1
gestione delle secrezioni tracheali bronco aspirazione;1
gestione della nutrizione parenterale;1
gestione della parenterale;1
gestione della presa in carico del pz;1
gestione della terapia endovenosa e tp ipodermica;1
gestione della terapia infusionale;1
gestione della terapia infusiva venosa;1
gestione della terapia intramuscolare;1
gestione della terapia orale ev e sc;1
gestione del tracheo;1
gestione del ventilatore e ossigeno terapia;1
gestione del ventilatore meccanico degli apparecchi per laspirazione e di altri presidi;1
gestione dell evacuazione;1
gestione della cute;1
gestione della funzionalità urinaria;1
gestione della mobilizzazione;1
gestione della nutrizione artificiale enterale e parenterale;1
gestione del dolore nel paziente oncologico e preparazione terapia in elastomero;1
gestione del doloresedazione terminale;1
gestione del lutto;1
gestione del peg;1
gestione del picc;1
gestione del picc e poeracat;1
gestione del picc o accessi venosi centrali;1
gestione del sng;1
gestione di cvc port e picc;1
gestione di medicazioni per lesioni da pressione pervenute da hosp;1
gestione di ntp;1
gestione di pazienti con peg;1
gestione di peg;1
gestione di peg e pej;1
gestione di peg gastriche e duodenali;1
gestione di peg per alimentazione enterale;1
gestione di accesso venoso centrale;1
gestione di cannule tracheostomiche in pz con patologie degenerative;1
gestione di catetere vesciale;1
gestione di catetere vescicale o altri presidi;1
gestione di cateteri sonde ecc;1
gestione di cateteri venosi centrali picc e porth a cath;1
gestione di cure palitive a domicilio visite con medico paliativista;1
gestione di cure palliative domiciliari assieme al medico palliativista;1
gestione device pome ecc;1
gestione device vascolari;1
gestione device venosi centrali e periferici;1
gestione device vie urinarie;1
gestione devicecvc porth;1
gestione devices accessi vascolari e cateteri vescicali;1
gestione di accessi centrali prevalentemente picc;1
gestione di accessi venosi periferisci e sotto cutanei;1
gestione delle stomie  es tracheostomia peg;1
gestione delle stomie alvo;1
gestione denaturazione in pz critico;1
gestione device centrali;1
gestione device cvccvp posizionam cv sostituzione e gestione ect;1
gestione device peg tracheotomie picc eo midline dreneggi;1
gestione device picc e portmedicazione e lavaggio;1
gestione device picc midline cvc porth;1
gestione drenaggi e stomie;1
gestione drenaggi e stomie cv tracheostomieventilazione non invasiva;1
gestione drenaggi e stomie in genere colonstomieurostomietracheostomie;1
counseling utente e famiglia;1
counselingla;1
counselling al paziente;1
counselling assistenziale terapetico;1
counselling assistenziale terapeutico;1
gestione documentazione;1
gestione dolore in cure palliative;1
gestione dolore oncologico e non;1
gestione doloregestione linee infusive;1
gestione drenaddi addominali e biliari;1
gestione drenaggi addominali e biliari e toracici;1
gestione drenaggi addominali e pleurici;1
gestione drenaggi addominali e toracici;1
gestione dispositivi peg;1
gestione dispositivi peg sng;1
gestione dispositivi port picc;1
gestione dispositivi vascolari;1
gestione dispositivi vene centrali picc porte ecc;1
gestione dispositivi venosi;1
gestione dispositivo ad infusione continua;1
gestione diuresi cateterizzazione su prescrizione;1
gestione di pompa antalgica elastomerica;1
gestione di pompe elastomeriche in pz con scompenso cardiaco;1
gestione di pz in cure palliative  a domicilio;1
gestione di sng;1
gestione di terapie scimev;1
gestione dimissione protetta;1
gestione dispositivi centrali;1
gestione dispositivi midline;1
gestione drenaggi pigtail;1
gestione drenaggi pleuriciaddominali;1
gestione drenaggi sng peg;1
gestione drenaggi stomie  tracheostomie;1
gestione drenaggi toracici;1
gestione drenaggi toracici medicazioni;1
gestione drenaggi urinarirenali;1
gestione drenaggio biliare;1
cura delle lesioni cutanee;1
cura delle lesioni da pressione;1
cura e igiene di peg;1
cura e lavaggio potha cath  picc e midline;1
cura gastrostomia percutanea;1
cura igiene dellassistito;1
cura ldp;1
cure igeniche;1
crisma;1
crismi di evacuazione ed educazione allagestione dellalvo;1
crismi evacuativi;1
criteri evacuativi;1
cunseling;1
