index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
1154	Medicazioni Avanzate	Medicazione di lesioni vascolari	medicazione di lesioni vascolari	032T
1155	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1156	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1157	Medicazione semplice	Medicazioni/bendaggi/fasciature	medicazionibendaggifasciature	033T
1158	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
1159	PAI, pianificazione, valutazione	Presa in carico	presa in carico	122R
1160	procedure clinico assistenziali	TEV	tev	016T
1161	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia infusionale	terapia infusionale	016T
1162	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1163	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1164	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi venosi	prelievi venosi	033T
1165	procedure clinico assistenziali	Cateterismo vesvicale	cateterismo vesvicale	065T
1166	Medicazioni Avanzate	MEDICAZIONE	medicazione	031T
1167	procedure clinico assistenziali	cv	cv	065T
1168	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
1169	procedure clinico assistenziali	Fleboclisi	fleboclisi	016T
1170	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
1171	Medicazione semplice	Medicazioni ferite semplici	medicazioni ferite semplici	031T
1172	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1173	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Idratazione endovenosa/sc	idratazione endovenosasc	016T
1174	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	122R
1175	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
1176	Medicazioni Avanzate	Medicazioni avanzata	medicazioni avanzata	032T
1177	Medicazione semplice	trattamento ferite	trattamento ferite	032T
1178	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusione terapia endovenosa	infusione terapia endovenosa	016T
1179	procedure clinico assistenziali	Sostituzione catetere vescicale	sostituzione catetere vescicale	065T
1180	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa e sottocutanea	terapia endovenosa e sottocutanea	016T
1181	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	033T
1182	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
1183	Medicazione semplice	Medicazioni anche con bendaggi	medicazioni anche con bendaggi	032T
1185	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi venosi	prelievi venosi	033T
1186	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
1187	Medicazioni Avanzate	medicazioni	medicazioni	031T
1188	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1189	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia ev	terapia ev	016T
1190	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1191	procedure clinico assistenziali	Terapia	terapia	016T
1192	procedure clinico assistenziali	Terapia infusionale	terapia infusionale	016T
1193	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1194	procedure clinico assistenziali	Catetere	catetere	065T
1195	Medicazioni Avanzate	Medicazioni ldd	medicazioni ldd	032T
1196	procedure clinico assistenziali	cateterismo vescicale	cateterismo vescicale	065T
1197	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1198	Medicazioni Avanzate	medicazioni ldd	medicazioni ldd	032T
1199	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1200	procedure clinico assistenziali	fleboclisi	fleboclisi	016T
1201	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1202	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
1203	procedure clinico assistenziali	Fleboclisi	fleboclisi	016T
1204	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	032T
1205	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
1206	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1207	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1209	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
1210	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1211	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1212	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	004T
1214	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1215	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Cvp	cvp	016T
1216	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
1217	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	032T
1218	Medicazioni Avanzate	Medicazioli ldp	medicazioli ldp	032T
1219	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1220	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	032T
1221	Medicazioni Avanzate	Medicazioni multiple	medicazioni multiple	032T
1222	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prlievi ematici	prlievi ematici	033T
1223	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1224	procedure clinico assistenziali	Gestione e posizionamento catetere vescicale	gestione e posizionamento catetere vescicale	065T
1226	Medicazione semplice	Medicazione arti inferiori	medicazione arti inferiori	031T
1227	Medicazione semplice	Medicazione	medicazione	031T
1228	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1229	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1230	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	032T
1231	Medicazioni Avanzate	Lesioni da pressione	lesioni da pressione	032T
1232	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1233	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1234	Medicazione semplice	Medicazione picc	medicazione picc	032T
1235	Medicazione semplice	Medicazione	medicazione	031T
1236	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Accessi venosi	accessi venosi	020T
1237	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
1238	Medicazione semplice	medicazione	medicazione	031T
1239	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1240	PAI, pianificazione, valutazione	Colloquio con MMG	colloquio con mmg	122R
1241	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia infusionale	terapia infusionale	016T
1242	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1243	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1244	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1245	Medicazione semplice	Medicazione	medicazione	031T
1246	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1247	Medicazioni Avanzate	Medicazioni lesioni da compressione	medicazioni lesioni da compressione	031T
1248	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1249	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo Venoso	prelievo venoso	033T
1250	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1251	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1252	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusione	infusione	016T
1253	Medicazione semplice	Medicazione	medicazione	031T
1254	Medicazione semplice	Medicazione	medicazione	031T
1255	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1256	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1257	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1258	Medicazioni Avanzate	Medicazione delle lesioni cutanee	medicazione delle lesioni cutanee	031T
1259	Monitoraggi e Misurazioni	Parametri Vitali	parametri vitali	004T
1260	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1261	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1262	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
1263	Medicazioni Avanzate	Medicazione complesse	medicazione complesse	032T
1264	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
1265	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
1266	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
1267	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1268	procedure clinico assistenziali	cambio catetere vescicale	cambio catetere vescicale	065T
1269	procedure clinico assistenziali	Terapia	terapia	015T
1270	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
1271	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
1272	Medicazioni Avanzate	Medicazioni ulcere da decubito	medicazioni ulcere da decubito	032T
1273	Medicazione semplice	Mwdicazioni semplici	mwdicazioni semplici	031T
1274	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1275	Medicazioni Avanzate	Piaghe da decubito	piaghe da decubito	032T
1276	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1277	Medicazioni Avanzate	Medicazione piaghe da decubito	medicazione piaghe da decubito	032T
1278	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1279	Medicazione semplice	Medicazione	medicazione	031T
1280	procedure clinico assistenziali	Cateterismo	cateterismo	065T
1281	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1282	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	031T
1283	Medicazioni Avanzate	medicazioni	medicazioni	031T
1284	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1285	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1286	Medicazione semplice	Medicazione	medicazione	031T
1287	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1288	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1289	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematici	prelievo ematici	033T
1290	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
1292	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
1294	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici venosi e capillari	prelievi ematici venosi e capillari	033T
1295	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici periferici e capillari	prelievi ematici periferici e capillari	033T
1296	Medicazioni Avanzate	Medicazione lesione da pressione	medicazione lesione da pressione	032T
1297	Medicazioni Avanzate	Medicazioni  piaghe da decubito	medicazioni  piaghe da decubito	032T
1298	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1299	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1300	Medicazioni Avanzate	Medicazioni piaghe e altro	medicazioni piaghe e altro	032T
1301	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1302	Medicazioni Avanzate	Medicazione LDP	medicazione ldp	032T
1303	Medicazioni Avanzate	Medicazioni LDD	medicazioni ldd	032T
1304	Medicazioni Avanzate	Medicazione l.d.d	medicazione ldd	032T
1305	Medicazioni Avanzate	Medicazione lesioni da pressione	medicazione lesioni da pressione	032T
1306	procedure clinico assistenziali	Cambio catetere	cambio catetere	065T
1307	Medicazione semplice	Medicazioni picc	medicazioni picc	032T
1308	Medicazioni Avanzate	Medicazione Lesioni decubito	medicazione lesioni decubito	032T
1309	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1310	Medicazioni Avanzate	Medicazioni complesse LDP	medicazioni complesse ldp	032T
1311	Medicazione semplice	Medicazione	medicazione	031T
1312	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
1313	Medicazioni Avanzate	Medicazione lesioni da decubito	medicazione lesioni da decubito	032T
1314	Medicazioni Avanzate	Medicazione LDP	medicazione ldp	032T
1315	Medicazione semplice	Mediazione semplice	mediazione semplice	031T
1316	Educazione Sanitaria	Addestramento caregiver	addestramento caregiver	122R
1318	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1319	Medicazioni Avanzate	Medicazioni decubiti	medicazioni decubiti	032T
1320	Medicazione semplice	Medicazione tracheostomia	medicazione tracheostomia	032T
1321	Educazione Sanitaria	Colloquio pazienti e care giver	colloquio pazienti e care giver	122R
1322	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1324	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1325	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1326	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia infusionale	terapia infusionale	016T
1327	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1328	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1329	procedure clinico assistenziali	Indagini bioumorali	indagini bioumorali	016T
1330	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
1331	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1332	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1333	Medicazioni Avanzate	Medicazione	medicazione	031T
1334	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
1335	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1336	Medicazione semplice	Medicazione /fasciatura/ bendaggio	medicazione fasciatura bendaggio	031T
1337	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
1338	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1339	Medicazione semplice	Medicazioni pdf	medicazioni pdf	031T
1341	Medicazioni Avanzate	Cure piaghe da decubito	cure piaghe da decubito	032T
1342	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1343	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	032T
1344	Medicazioni Avanzate	Medicazione	medicazione	031T
1345	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1346	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Nutrizione parenterale	nutrizione parenterale	016T
1347	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1348	Medicazioni Avanzate	Medicazioni semplici e complesse	medicazioni semplici e complesse	031T
1349	Medicazioni Avanzate	Ulcere da decubito	ulcere da decubito	032T
1350	Medicazioni Avanzate	Medicazioni LDP	medicazioni ldp	032T
1351	Medicazioni Avanzate	Medicazione piaghe	medicazione piaghe	032T
1352	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo di sangue	prelievo di sangue	033T
1353	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1354	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo veniso	prelievo veniso	033T
1355	Educazione Sanitaria	Supporto psicologico	supporto psicologico	169R
1357	Monitoraggi e Misurazioni	Controllo Peg	controllo peg	055T
1358	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Accessi venosi	accessi venosi	020T
1359	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1360	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
1361	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	032T
1362	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1363	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1364	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1365	PAI, pianificazione, valutazione	Valutazione	valutazione	122R
1366	Medicazione semplice	Medicazione	medicazione	031T
1367	Medicazioni Avanzate	Medicazioni semplici ed avanzate	medicazioni semplici ed avanzate	032T
1368	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi domiciliari	prelievi domiciliari	033T
1369	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1370	PAI, pianificazione, valutazione	Valutazione infermieristica	valutazione infermieristica	122R
1373	Medicazioni Avanzate	medicazioni	medicazioni	122R
1374	Medicazioni Avanzate	Medicazioni da pressione	medicazioni da pressione	031T
1375	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	032T
1376	PAI, pianificazione, valutazione	Visione documentazione clinica	visione documentazione clinica	122R
1377	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1378	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1379	Educazione Sanitaria	Formazione farmaci salvavita	formazione farmaci salvavita	122R
1380	Medicazioni Avanzate	Medicazioni	medicazioni	016T
1381	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1382	procedure clinico assistenziali	Cure igieniche e mobilizzazione	cure igieniche e mobilizzazione	091T
1384	PAI, pianificazione, valutazione	Valutazione ldp	valutazione ldp	112T
1385	Medicazione semplice	Medicazione	medicazione	031T
1386	Medicazione semplice	Medicazione	medicazione	031T
1387	PAI, pianificazione, valutazione	Visita valutativa infermieristica	visita valutativa infermieristica	122R
1388	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1389	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapie endovenose	terapie endovenose	016T
1390	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
1391	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1393	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1394	Medicazione semplice	Medicazioni	medicazioni	031T
1395	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1396	Medicazione semplice	Medicazione	medicazione	031T
1397	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1398	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
1400	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1402	Medicazioni Avanzate	Medicazioni semplici e complesse	medicazioni semplici e complesse	032T
1403	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1404	Medicazione semplice	Medicazione semplici	medicazione semplici	031T
1405	Medicazioni Avanzate	Medicazione	medicazione	031T
1406	Medicazioni Avanzate	Medicazione	medicazione	031T
1407	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
1408	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	032T
1409	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1410	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1411	Educazione Sanitaria	Ascolto della persona sia utente che caregiver	ascolto della persona sia utente che caregiver	122R
1413	Educazione Sanitaria	Educazione sanitaria per i pazienti e suoi famigliari	educazione sanitaria per i pazienti e suoi famigliari	122R
1414	Monitoraggi e Misurazioni	Vitalwerte 	vitalwerte 	004T
1415	Monitoraggi e Misurazioni	controllo parametri vitali	controllo parametri vitali	004T
1416	Medicazioni Avanzate	medicazione	medicazione	031T
1417	Medicazione semplice	medicazioni, gestione diversi tipi di cateteri ( vescicali..)	medicazioni gestione diversi tipi di cateteri  vescicali	031T
1418	Medicazioni Avanzate	Wundversorgung	wundversorgung	032T
1419	Medicazioni Avanzate	Wound care	wound care	031T
1420	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
1422	procedure clinico assistenziali	Beratung	beratung	122R
1423	procedure clinico assistenziali	Gestione TPN - infusioni -	gestione tpn  infusioni 	016T
1424	Medicazioni Avanzate	medicazioni	medicazioni	031T
1425	Monitoraggi e Misurazioni	controllo dei valori vitali	controllo dei valori vitali	004T
1426	Medicazioni Avanzate	medicazioni	medicazioni	031T
1427	PAI, pianificazione, valutazione	Consulenza	consulenza	122R
1428	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
1429	Medicazioni Avanzate	trattamento di piaghe e ulceri	trattamento di piaghe e ulceri	032T
1430	Medicazione semplice	medicazione di ferite	medicazione di ferite	032T
1431	Medicazione semplice	Medicazioni ferite e postchirurgiche	medicazioni ferite e postchirurgiche	032T
1432	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
1433	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1434	Educazione Sanitaria	Colloqui informativi	colloqui informativi	122R
1435	Educazione Sanitaria	colloqui con paziente e familiari	colloqui con paziente e familiari	122R
1436	Medicazioni Avanzate	medicazioni	medicazioni	031T
1437	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo di sangue	prelievo di sangue	033T
1439	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1441	Medicazione semplice	medicazioni ferite	medicazioni ferite	031T
1442	Medicazioni Avanzate	medicazione	medicazione	031T
1443	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1444	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1445	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1446	Cure Palliative	cure palliative , dall´primo accesso del team fino all´accompagnamento al paz. morente	cure palliative  dallprimo accesso del team fino allaccompagnamento al paz morente	178R
1447	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo sangue	prelievo sangue	033T
1448	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
1449	Medicazioni Avanzate	Wundversorgung	wundversorgung	032T
1450	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Blutabnahme	blutabnahme	033T
1451	Medicazione semplice	Medicare le ferite	medicare le ferite	031T
1452	Educazione Sanitaria	sostegno emotivo	sostegno emotivo	122R
1453	Educazione Sanitaria	colloqui	colloqui	122R
1454	procedure clinico assistenziali	gestione della TPN	gestione della tpn	016T
1455	Cure Palliative	cure palliative	cure palliative	178R
1456	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
1457	procedure clinico assistenziali	cura delle lesioni cutanee	cura delle lesioni cutanee	031T
1458	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
1459	Educazione Sanitaria	colloquio famigliare, singole, educativi, informativi	colloquio famigliare singole educativi informativi	122T
1460	Medicazioni Avanzate	medicazioni  a domicilio	medicazioni  a domicilio	031T
1461	Medicazioni Avanzate	medicazione di ulcere	medicazione di ulcere	031T
1462	Cure Palliative	cure palliative	cure palliative	178R
1463	Educazione Sanitaria	colloquio con famiglia	colloquio con famiglia	178R
1464	Monitoraggi e Misurazioni	misurazione parametri vitali	misurazione parametri vitali	004T
1465	Medicazione semplice	medicazioni di ulcere	medicazioni di ulcere	032T
1466	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1467	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
1468	Educazione Sanitaria	Sostegno ai caregiver	sostegno ai caregiver	122R
1469	Medicazioni Avanzate	Medicazione	medicazione	031T
1470	Cure Palliative	Assistenza cure palliative ed elaborazione lutto	assistenza cure palliative ed elaborazione lutto	178R
1471	Medicazioni Avanzate	Medicazione avanzata	medicazione avanzata	032T
1472	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1473	Medicazioni Avanzate	TPN	tpn	016T
1474	Medicazioni Avanzate	medicazioni	medicazioni	031T
1475	Cure Palliative	assistenza cure palliative ed elaborazione lutto	assistenza cure palliative ed elaborazione lutto	178R
1476	Educazione Sanitaria	Educazione	educazione	122R
1477	Medicazioni Avanzate	medicazioni/bendaggi complessi	medicazionibendaggi complessi	032T
1478	Monitoraggi e Misurazioni	Parametri vitali, misurazione della glicemia	parametri vitali misurazione della glicemia	004T
1479	Cure Palliative	cure palliative	cure palliative	178R
1480	Medicazioni Avanzate	medicazioni	medicazioni	031T
1481	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1482	Educazione Sanitaria	colloqui con persona assistita e caregiver per assestement e presa in carico	colloqui con persona assistita e caregiver per assestement e presa in carico	122R
1483	Medicazioni Avanzate	medicazioni	medicazioni	031T
1484	Monitoraggi e Misurazioni	controllo del dolore	controllo del dolore	004T
1485	Medicazioni Avanzate	medicazioni	medicazioni	031T
1486	Educazione Sanitaria	educazione	educazione	122R
1487	Medicazioni Avanzate	medicazioni	medicazioni	031T
1488	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo del sangue	prelievo del sangue	033T
1489	Medicazioni Avanzate	medicazioni	medicazioni	031T
1490	Medicazioni Avanzate	medicazioni	medicazioni	031T
1491	PAI, pianificazione, valutazione	consulenza	consulenza	122R
1492	Educazione Sanitaria	colloquio	colloquio	031T
1493	Medicazione semplice	medicazione delle ferite	medicazione delle ferite	032T
1496	Medicazioni Avanzate	medicazioni	medicazioni	031T
1497	Medicazioni Avanzate	medicazioni	medicazioni	031T
1498	Medicazioni Avanzate	medicazione	medicazione	031T
1499	Monitoraggi e Misurazioni	monitoraggio dolore	monitoraggio dolore	004T
1500	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
1501	Cure Palliative	cure palliative ed elaborazione lutto	cure palliative ed elaborazione lutto	178R
1502	Cure Palliative	assistenza cure palliative ed elaborazione lutto	assistenza cure palliative ed elaborazione lutto	178R
1503	Medicazioni Avanzate	medicazione	medicazione	031T
1504	procedure clinico assistenziali	Therapieüberwachung	therapieüberwachung	031T
1505	Educazione Sanitaria	Hausbesuche nach dem familienzentrierten Konzept	hausbesuche nach dem familienzentrierten konzept	122R
1506	procedure clinico assistenziali	peso	peso	004T
1507	procedure clinico assistenziali	preparazione medicinali	preparazione medicinali	013T
1508	Medicazioni Avanzate	medicazioni	medicazioni	031T
1509	procedure clinico assistenziali	Verbandwechsel	verbandwechsel	031T
1510	Monitoraggi e Misurazioni	controllo parametri vitali	controllo parametri vitali	004T
1511	Medicazioni Avanzate	Wundbehandlung	wundbehandlung	031T
1512	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi domiciliari	prelievi domiciliari	033T
1513	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1514	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1515	procedure clinico assistenziali	Prep farmaci	prep farmaci	013T
1516	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo venoso	prelievo venoso	033T
1517	Medicazione semplice	medicazioni / bendaggi	medicazioni  bendaggi	031T
1518	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi di sangue	prelievi di sangue	033T
1519	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1520	procedure clinico assistenziali	terapia i.m	terapia im	033T
1522	Medicazione semplice	bendaggio	bendaggio	032T
