Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
procedure clinico assistenziali;Sostituzione sondino;;;;
procedure clinico assistenziali;Gestione cv;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Educazione Sanitaria;Ascolto;;;;
Medicazioni Avanzate;medicazione lesioni da pressione;;;;
procedure clinico assistenziali;Sost. C.v;;;;
Medicazioni Avanzate;medicazioni complesse;032t;;;
procedure clinico assistenziali;sostituzione cv;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Monitoraggi e Misurazioni;monitoraggio lesioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
Educazione Sanitaria;Educazione al care giver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Gestione cvc e infusione endovena;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA INFUSIONALE;016t;;;
procedure clinico assistenziali;gestioni peg;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Gest tracheo;;;;
Medicazioni Avanzate;Medicazione ulcere;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
procedure clinico assistenziali;Gestione peg;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
;;;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Cure Palliative;valutazione del dolore utilizzando scale di valutazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
PAI, pianificazione, valutazione;Stesura PAI;;;;
;;;;;
procedure clinico assistenziali;Gestione peg;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
Medicazioni Avanzate;Medicazioni semplici/ complesse;;;;
procedure clinico assistenziali;Posizionamento catetere vescicale;065t;;;
procedure clinico assistenziali;Gestione Peg;;;;
procedure clinico assistenziali;Gestioni sng;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
procedure clinico assistenziali;gestione peg;;;;
procedure clinico assistenziali;Cambi catetere;065t;;;
Educazione Sanitaria;educazione alla rilevazione dei parametri vitali;004t;;;
Monitoraggi e Misurazioni;Rilevazione parametri;004t;;;
Monitoraggi e Misurazioni;controllo parametri vitali;004t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Monitoraggi e Misurazioni;Rilevazione parametri;004t;;;
PAI, pianificazione, valutazione;Orientamento nella rete dei servizi;;;;
PAI, pianificazione, valutazione;Orientamento rete socio territoriale;;;;
PAI, pianificazione, valutazione;orientamento e attivazione rete servizi territoriali del distretto;;;;
Monitoraggi e Misurazioni;Monitoraggio aderenza terapeutica;;;;
Monitoraggi e Misurazioni;Rilevazione parametri;004t;;;
procedure clinico assistenziali;Gestione con mmg;;;;
PAI, pianificazione, valutazione;Ricognizione farmacologica;;;;
;;;;;
PAI, pianificazione, valutazione;Compilazione scale valutazione;;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
PAI, pianificazione, valutazione;orientamento nella rete dei servizi;;;;
;;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
Monitoraggi e Misurazioni;Monitoraggio pv;004t;;;
Medicazione semplice;medicazione;;;;
PAI, pianificazione, valutazione;valutazione multidimensionali;;;;
Monitoraggi e Misurazioni;rilevazione pv;004t;;;
PAI, pianificazione, valutazione;valutazione richiesta presidi;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
PAI, pianificazione, valutazione;ATTIVAZIONE DELLA RETE;;;;
;;;;;
;;;;;
Monitoraggi e Misurazioni;Telemedicina;;;;
PAI, pianificazione, valutazione;valutazione ausili;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
PAI, pianificazione, valutazione;Orientamento ai servizi territoriali;;;;
PAI, pianificazione, valutazione;Orientamento dei servizi;;;;
PAI, pianificazione, valutazione;attivazione rete;;;;
procedure clinico assistenziali;gestione alvo;;;;
;;;;;
procedure clinico assistenziali;gestione terapia;;;;
procedure clinico assistenziali;Clistere evacuativo;080t;;;
procedure clinico assistenziali;clistere evacuativo;080t;;;
Medicazioni Avanzate;medicazioni;;;;
PAI, pianificazione, valutazione;valutazione ambientale;;;;
PAI, pianificazione, valutazione;ATTIVAZIONE DEI SERVIZI;;;;
procedure clinico assistenziali;Gestrione stomie (nefro-uro-colon);;;;
procedure clinico assistenziali;Vaccinazioni;;;;
PAI, pianificazione, valutazione;Presa in carico;;;;
Educazione Sanitaria;Colloqui;;;;
PAI, pianificazione, valutazione;Presa in carico;;;;
procedure clinico assistenziali;somministrazione insulina  e monitoraggio glicemico;033t;;;
;;;;;
Monitoraggi e Misurazioni;Valutazione domiciliare per supervisione ente gestore esterno;;;;
procedure clinico assistenziali;insuline a scuola;;;;
procedure clinico assistenziali;insulina nelle scuole;;;;
Monitoraggi e Misurazioni;Valutazione misura b1;;;;
procedure clinico assistenziali;SOMM INSULINA;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Emotrasfusioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TRASFUSIONI;;;;
procedure clinico assistenziali;Terapia (infusionale, intramuscolare);016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Emotrasfusioni (insieme al medico);;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;somministrazione terapia endovenosa;016t;;;
procedure clinico assistenziali;Convalide adi;;;;
PAI, pianificazione, valutazione;Valutazione setting domiciliare;;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016t;;;
;;;;;
procedure clinico assistenziali;dialisi peritoneale;;;;
Medicazioni Avanzate;MEDICAZIONI;;;;
Medicazioni Avanzate;medicazioni;;;;
procedure clinico assistenziali;Somministrazione di terapia antibiotica endovena;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazione lesioni vascolari;;;;
Medicazioni Avanzate;Medicazioni lesioni vascolari;;;;
Medicazioni Avanzate;Medicazioni lesioni da pressione;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Gestione alvo;;;;
procedure clinico assistenziali;Cambio cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cv;020t;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;INDIVIDUAZIONE, ADDESTRAMENTO E SUPPORTO AL CAREGIVER;;;;
Educazione Sanitaria;CREAZIONE DI UNA RELAZIONE TERAPEUTICA/ASSISTENIALE;;;;
Educazione Sanitaria;educazione sanitaria addestramento presidi;;;;
Educazione Sanitaria;individuazione, addestramento e supporto al caregiver;;;;
Monitoraggi e Misurazioni;valutazione iniziale, pianificazione assistenziale;;;;
PAI, pianificazione, valutazione;pianificazione e valutazione assistenziale (uso di scale...);;;;
Monitoraggi e Misurazioni;valutazione e pianificazione dell'assistenza  : utilizzo di strumenti: ( scale di valutazione );;;;
Educazione Sanitaria;indivuduazione , addestramento e supporto caregiver;;;;
Educazione Sanitaria;individuazione ,addestramento e supporto del caregiver;;;;
Educazione Sanitaria;individuazione ed addestramento  caregiver;;;;
Educazione Sanitaria;Supporto caregiver;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;supporto al care giver;;;;
Educazione Sanitaria;Supporto al care-giver;;;;
Educazione Sanitaria;supp. al caregiver;112r;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;supporto al care giver;;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;Addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;EDUCAZIONE SANITARIA;122r;;;
Educazione Sanitaria;supporto al caregiver;;;;
Medicazioni Avanzate;medicazioni semplici e gestione delle complicanze assistenziali;;;;
Educazione Sanitaria;EDUCAZIONE SANITARIA;122r;;;
Educazione Sanitaria;supporto al caregiver;;;;
Educazione Sanitaria;SUPPORTO AL CAREGIVER;;;;
Educazione Sanitaria;SUPPORTO AL  CAREGIVER;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
;;;;;
PAI, pianificazione, valutazione;Attivazione servizi;;;;
Monitoraggi e Misurazioni;Rilevazione parametri vitali;004t;;;
procedure clinico assistenziali;Sp2;;;;
Educazione Sanitaria;colloquio;;;;
;;;;;
procedure clinico assistenziali;Gestione farmaci;;;;
;;;;;
PAI, pianificazione, valutazione;Vmd;;;;
;;;;;
Educazione Sanitaria;Educazio;;;;
PAI, pianificazione, valutazione;Rivalutazione assistenziale condivisa con AS;;;;
Monitoraggi e Misurazioni;Rilevazioni parametri;004t;;;
;;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO EMATICO;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusi a;016t;;;
Monitoraggi e Misurazioni;monitoraggio visite eseguite;;;;
procedure clinico assistenziali;Cambio cv;065t;;;
Educazione Sanitaria;educazione e addestramento al caregiver;;;;
PAI, pianificazione, valutazione;accertamento infermieristico (Gordon);;;;
Educazione Sanitaria;educazione alla prevenzione CADUTE;;;;
Monitoraggi e Misurazioni;monitoraggio visite di controllo;004t;;;
PAI, pianificazione, valutazione;prenotazione visite;;;;
procedure clinico assistenziali;gestione alvo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cicli di fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;flebo;016t;;;
Medicazioni Avanzate;medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale ev sc;016t;;;
procedure clinico assistenziali;CATETERISMO;065t;;;
Medicazioni Avanzate;lesioni vascolari;;;;
procedure clinico assistenziali;gestione alvo;;;;
Monitoraggi e Misurazioni;controllo parametri vitali;004t;;;
Educazione Sanitaria;Educazione Sanitaria paziente e caregiver;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;Educazione corretta gestion terapia;;;;
procedure clinico assistenziali;GESTIONE ALVO;;;;
Medicazione semplice;MEDICAZIONE SEMPLICE;031t;;;
Monitoraggi e Misurazioni;Rilevazione PV;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;SOMMINISTRAZIONE TERAPIA EV E/O IM;016t;;;
procedure clinico assistenziali;somministrazione terapia in muscolo e endovenosa;016t;;;
Medicazione semplice;Medicazioni in prima istanza;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cv;020t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
procedure clinico assistenziali;Gestione sc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;;;;
procedure clinico assistenziali;posizionamento sottocute;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONR CATETERI CENTRALI;;;;
PAI, pianificazione, valutazione;Fornitura materiali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
PAI, pianificazione, valutazione;Valutazioni;;;;
Educazione Sanitaria;Educazione;;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;Cateteri vescicali;065t;;;
Medicazioni Avanzate;Trattamento lesione trofiche;;;;
Educazione Sanitaria;Educazione/gestione terapia;;;;
Educazione Sanitaria;Parte educativa;;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
;;;;;
procedure clinico assistenziali;Gestione Catetere Vescicale;065t;;;
procedure clinico assistenziali;Sostituzione/controllo catetere vescicale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
PAI, pianificazione, valutazione;Valutazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cambio C. V.;065t;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;004t;;;
procedure clinico assistenziali;Cateterismo;065t;;;
procedure clinico assistenziali;Cateterismi vescicali;065t;;;
procedure clinico assistenziali;POSIZIONAMENTO CATETERE VESCICALE;065t;;;
procedure clinico assistenziali;Cambio cv;065t;;;
PAI, pianificazione, valutazione;Valutazione dei bisogni e dei rischi;;;;
Educazione Sanitaria;Relazione d'aiuto al paziente/caregiver;;;;
Monitoraggi e Misurazioni;Telemonotoraggio;;;;
Monitoraggi e Misurazioni;Gestione monititoraggio PDTA;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venoso centrali;;;;
Cure Palliative;Gestione dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016t;;;
procedure clinico assistenziali;Gestione del dolore;;;;
procedure clinico assistenziali;Gestione del dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accesso venosi centrali;;;;
Monitoraggi e Misurazioni;Gestione monitoraggio PDTA;;;;
Cure Palliative;Gestione del colore;;;;
Medicazioni Avanzate;Trattamento lesioni trofiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;065t;;;
PAI, pianificazione, valutazione;Gestione lavoro;;;;
Medicazioni Avanzate;Trattamento lesioni trofiche;;;;
Cure Palliative;Gestione dolore;;;;
Medicazioni Avanzate;Prevenzione e trattamento ldd;;;;
procedure clinico assistenziali;Gestione NA enterale e parenterale;;;;
procedure clinico assistenziali;Gestione NA enterale e parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
Cure Palliative;Accompagnamento paziente oncologico e non;;;;
Monitoraggi e Misurazioni;Gestione monitoraggi PDTA 9Diabete, BPCO, Volemico, Scompenso);;;;
PAI, pianificazione, valutazione;gestione e monitoraggio PDTA;;;;
Monitoraggi e Misurazioni;Teleassistenza;;;;
PAI, pianificazione, valutazione;Fornitura materiali;;;;
procedure clinico assistenziali;Gestione NAZIONALE generale e parenterale;;;;
procedure clinico assistenziali;Gestione NA enterale e parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE LINEE INFUSIVE;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
Cure Palliative;Gestione dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016t;;;
Cure Palliative;gestione dolore;;;;
Cure Palliative;Gestione dolore;;;;
procedure clinico assistenziali;Gestione NA enterale e parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
procedure clinico assistenziali;Gestione del dolore;;;;
Cure Palliative;Gestione dolore;;;;
Medicazioni Avanzate;Trattamento lesioni trofiche;;;;
Medicazioni Avanzate;Trattamento lesioni trofiche;;;;
procedure clinico assistenziali;Gestione N.A. enterale e parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;;;;
Educazione Sanitaria;Supporto al garegiver;;;;
Monitoraggi e Misurazioni;Gestione monitoraggi PDTA;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fluidoterapia;;;;
procedure clinico assistenziali;Npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fluidoterapia;;;;
procedure clinico assistenziali;infusione ipodermica;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;gestione PEG;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Picc;;;;
;3;;;;
Medicazioni Avanzate;MEDICAZIONE LESIONI DA DECUBITO;;;;
Medicazioni Avanzate;Medicazioni catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016t;;;
procedure clinico assistenziali;NPT;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc /port;;;;
procedure clinico assistenziali;gestione peg;;;;
Medicazioni Avanzate;medicazioni per LDD;;;;
Medicazione semplice;medicazione picc/cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIE EV;016t;;;
Medicazioni Avanzate;medicazioni ulcere trofiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fluidoterapie;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Flebo terapia;016t;;;
Medicazioni Avanzate;Medicazioni lesioni da decubito;;;;
Medicazione semplice;Medicazione lesioni di vario tipo;;;;
procedure clinico assistenziali;Nutrizione parenterale;;;;
Medicazioni Avanzate;Medicazioni ulcere trofiche;;;;
Medicazioni Avanzate;Medicazioni ulcere trofiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA ENDOVENOSA;016t;;;
Medicazioni Avanzate;medicazioni;;;;
procedure clinico assistenziali;sostituzioni catetere vescicali;065t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Peg;;;;
procedure clinico assistenziali;Npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione;016t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovena;016t;;;
procedure clinico assistenziali;Cateterismo;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
procedure clinico assistenziali;Gestione catetere;065t;;;
Medicazioni Avanzate;Medicazioni ulcere da pressione;;;;
procedure clinico assistenziali;cateterismi vescicali;065t;;;
procedure clinico assistenziali;GESTIONE PEG;;;;
procedure clinico assistenziali;Gestione e/o cambio catetere vescicale;065t;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
procedure clinico assistenziali;nutrizione parenterale;;;;
Medicazioni Avanzate;gestione/educazione/ lesioni da pressione;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
procedure clinico assistenziali;cateterismi;065t;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Medicazioni Avanzate;medicazione ulcere trofiche/vascolari;;;;
procedure clinico assistenziali;npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni ev/sc;016t;;;
procedure clinico assistenziali;LAVAGGIO VESCICALE;;;;
Medicazioni Avanzate;medicazione lesioni vascolari;;;;
;;;;;
procedure clinico assistenziali;gestione PEG e nutrizione enterale;;;;
procedure clinico assistenziali;terapia sottocutanea;;;;
procedure clinico assistenziali;cateterismi vescicali;065t;;;
procedure clinico assistenziali;sostituzione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fluidoterapia;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia ev;016t;;;
Medicazioni Avanzate;MEDICAZIONE ULCERE;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazione semplice;medicazioni chirurgiche;;;;
Medicazione semplice;medicazioni lesioni chirurgiche;;;;
Medicazione semplice;medicazioni chirurgiche;;;;
Medicazioni Avanzate;medicazioni ulcere da decubito;;;;
procedure clinico assistenziali;cateterismo;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;;;;
procedure clinico assistenziali;Cateterismo vesciale;065t;;;
procedure clinico assistenziali;lavaggi pic;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016t;;;
procedure clinico assistenziali;gestione nad;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;clistere;;;;
procedure clinico assistenziali;Lavaggi cateteri vescicali;065t;;;
procedure clinico assistenziali;Gestione cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
Medicazioni Avanzate;Medicazioni lesioni cute;;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016t;;;
procedure clinico assistenziali;drenaggi biliari toracici;;;;
procedure clinico assistenziali;npt;;;;
Monitoraggi e Misurazioni;controllo peg;;;;
;;;;;
procedure clinico assistenziali;nutrizioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;applicazione fluidoterapia;016t;;;
Medicazione semplice;MEDICAZIONI CHIRURGICHE RIMOZIONE PUNTI SUTURA;;;;
Medicazioni Avanzate;medicazione lesioni decubito;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Picc;;;;
procedure clinico assistenziali;i.m.;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016t;;;
procedure clinico assistenziali;Cateterismo;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione infusione;016t;;;
Monitoraggi e Misurazioni;Controllo paziente;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenosa;016t;;;
procedure clinico assistenziali;terapia trandermica;;;;
procedure clinico assistenziali;Gestione nutrizione enterale tramite sng/ PEG;;;;
Medicazione semplice;Medicazioni semplice;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016t;;;
Medicazioni Avanzate;medicazione lesioni e ulcere;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016t;;;
Medicazione semplice;bendaggio;023t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi di sangue venoso;033t;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
PAI, pianificazione, valutazione;valutazione idratazione;;;;
Educazione Sanitaria;educazione terapia;;;;
procedure clinico assistenziali;Sostituzioni cateteri;065t;;;
procedure clinico assistenziali;gestione/educazione della nutrizione enterale o parenterale, della PEG e del SNG;;;;
procedure clinico assistenziali;Sostituzione cv;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva e gestione accessi venosi;016t;;;
Medicazioni Avanzate;Medicazione complessa;032t;;;
procedure clinico assistenziali;cateterismo;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;INFUSIONI;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusive;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016t;;;
Medicazioni Avanzate;gestione lesioni arti inferiori;;;;
procedure clinico assistenziali;Terapia sottocutanea;;;;
procedure clinico assistenziali;NUTRIZIONE PARENTERALE - GESTIONE;;;;
Educazione Sanitaria;supporto paziente;;;;
Medicazione semplice;medicazione semplice;031t;;;
Medicazioni Avanzate;Gestione  lesioni arti inferiori;;;;
Medicazioni Avanzate;GESTIONE LESIONE VASCOLARI;;;;
procedure clinico assistenziali;gestione e posizionamento catetere vescicale;065t;;;
procedure clinico assistenziali;npt, net;;;;
procedure clinico assistenziali;posizionamento CV;065t;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
procedure clinico assistenziali;gestione sng/peg;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia parenterale totale;016t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Medicazione semplice;medicazioni accessi venosi centrali e posizionamento e gestione cvp;;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;port,picc,midline;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione CVC;;;;
procedure clinico assistenziali;sostituzioni cateteri vescicali;065t;;;
;;;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
PAI, pianificazione, valutazione;Ricognizione terapeutica;;;;
Medicazioni Avanzate;medicazioni diabetiche;;;;
procedure clinico assistenziali;paracentesi;;;;
Monitoraggi e Misurazioni;monitoraggio assunzione terapia;;;;
procedure clinico assistenziali;Cambio PEG;;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016t;;;
procedure clinico assistenziali;Cambio peg;;;;
Educazione Sanitaria;Supporto al cargiver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione fleboterapia e accessi vascolari;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
Educazione Sanitaria;Supporto caregiver;;;;
Medicazioni Avanzate;Medicazioni;;;;
Educazione Sanitaria;Supporto caregiver/supporto paziente;;;;
Medicazioni Avanzate;Lesioni piaghe;;;;
Cure Palliative;Assistenza fine vita;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia infusiva endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia infusiva ev;016t;;;
Medicazioni Avanzate;Medicazione ulcera da decubito;;;;
PAI, pianificazione, valutazione;Valutazione multidisciplinare;;;;
Educazione Sanitaria;Educazione gestione catetere vescicale;;;;
procedure clinico assistenziali;GESTIONE CATETERI VENOSI CENTRALI;065t;;;
