index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
3470	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3471	Monitoraggi e Misurazioni	misurazione parametri vitali	misurazione parametri vitali	misurazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3472	Educazione Sanitaria	counselling	counselling	counselling	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3473	Educazione Sanitaria	EDUCAZIONE SANITARIA	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3474	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3475	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3476	PAI, pianificazione, valutazione	Valutazioni infermieristiche assistenziali	valutazioni infermieristiche assistenziali	valutazione infermieristico assistenziale	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3477	PAI, pianificazione, valutazione	valutazione multidimensionale	valutazione multidimensionale	valutazione multidimensionale	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3478	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
3479	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3480	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3481	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3482	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
3484	Medicazioni Avanzate	gestione lesioni	gestione lesioni	gestione lesioni	031T	Medicazione semplice
3485	Medicazioni Avanzate	Medicazione lesioni vascolari	medicazione lesioni vascolari	medicazione lesioni vascolare	031T	Medicazione semplice
3486	Medicazione semplice	medicazione	medicazione	medicazione	031T	Medicazione semplice
3487	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3488	Monitoraggi e Misurazioni	rilevazione dei parametri	rilevazione dei parametri	rilevazione dei parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3489	Educazione Sanitaria	EDUCAZIONE TERAPEUTICA	educazione terapeutica	educazione terapeutica	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3490	Medicazioni Avanzate	Medicazione ldp	medicazione ldp	medicazione lesione da pressione	031T	Medicazione semplice
3491	PAI, pianificazione, valutazione	Valutazione domiciliare adi	valutazione domiciliare adi	valutazione domiciliare assistenza domiciliare integrata	031T	Medicazione semplice
3492	Educazione Sanitaria	Colloquio	colloquio	colloquio	031T	Medicazione semplice
3493	PAI, pianificazione, valutazione	Presa in carico	presa in carico	presa in carico	031T	Medicazione semplice
3494	PAI, pianificazione, valutazione	Uvm	uvm		031T	Medicazione semplice
3495	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo venoso	prelievo venoso	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3496	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3497	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo domiciliare	prelievo domiciliare	prelievo domiciliare	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3498	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3499	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3500	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3501	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVO	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3502	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3503	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3504	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI TAO	prelievi tao	prelievo terapia anticoagulante orale	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3505	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ( ematici, Tao, per emotrasfusione)	prelievi   ematici  tao  per emotrasfusione 	prelievo ematico terapia anticoagulante orale per emotrasfusione	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3506	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi Ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3507	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi domiciliari	prelievi domiciliari	prelievo domiciliare	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3508	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3509	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3510	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3512	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3513	Medicazioni Avanzate	MEDICAZIONI	medicazioni	medicazione	031T	Medicazione semplice
3514	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3517	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico venoso	prelievo ematico venoso	prelievo ematico venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3518	procedure clinico assistenziali	Svuotamento manuale di feci	svuotamento manuale di feci	svuotamento manuale di feci	085T	Estrazione fecalomi
3519	procedure clinico assistenziali	Gestione alvo	gestione alvo	gestione alvo	083T	Assistenza al paziente nell'eliminazione intestinale
3520	procedure clinico assistenziali	Gestione alvo	gestione alvo	gestione alvo	083T	Assistenza al paziente nell'eliminazione intestinale
3521	procedure clinico assistenziali	Gestione alvo	gestione alvo	gestione alvo	083T	Assistenza al paziente nell'eliminazione intestinale
3522	Educazione Sanitaria	Educazione sanitaria e formazione care giver	educazione sanitaria e formazione care giver	educazione sanitario e formazione caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3523	Medicazioni Avanzate	Medicazione lesioni da pressione	medicazione lesioni da pressione	medicazione lesioni da pressione	032T	Medicazione complessa
3524	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	medicazione lesioni da pressione	032T	Medicazione complessa
3525	Medicazioni Avanzate	Medicazione lesioni vascolari e da pressione	medicazione lesioni vascolari e da pressione	medicazione lesioni vascolare e da pressione	032T	Medicazione complessa
3526	Monitoraggi e Misurazioni	monitoraggio parametri vitali ed follow up	monitoraggio parametri vitali ed follow up	monitoraggio parametri vitale ed follow up	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3527	Monitoraggi e Misurazioni	MONITORARE I PARAMETRI VITALI	monitorare i parametri vitali	monitorare i parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3528	Monitoraggi e Misurazioni	MONITORAGGIO PV -	monitoraggio pv  	monitoraggio parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3529	procedure clinico assistenziali	PV e follow app	pv e follow app	parametri vitali e follow up applicazione	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3530	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3531	Monitoraggi e Misurazioni	monitoraggio parametri vitali follow up	monitoraggio parametri vitali follow up	monitoraggio parametri vitale follow up	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3532	Monitoraggi e Misurazioni	monitoraggio dei PV	monitoraggio dei pv	monitoraggio dei parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3533	Monitoraggi e Misurazioni	rilevazione parametri vitali rilevazione delle condizioni generali igienico-sanitarie	rilevazione parametri vitali rilevazione delle condizioni generali igienico sanitarie	rilevazione parametri vitale rilevazione delle condizione generale igienico sanitario	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3534	Monitoraggi e Misurazioni	verifica aderenza terapeutica	verifica aderenza terapeutica	verifica aderenza terapeutica	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3535	Monitoraggi e Misurazioni	rilevazione parametri vitali, delle condizioni igienico sanitarie generali	rilevazione parametri vitali  delle condizioni igienico sanitarie generali	rilevazione parametri vitale delle condizione igienico sanitario generale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3536	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3537	Monitoraggi e Misurazioni	Rilvazione PV	rilvazione pv	rilevazione parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3538	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3539	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3540	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3541	Monitoraggi e Misurazioni	rilevazione PV	rilevazione pv	rilevazione parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3542	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3543	Monitoraggi e Misurazioni	rilevazione dei parametri vitali	rilevazione dei parametri vitali	rilevazione dei parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3544	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3545	Educazione Sanitaria	educazione alla salute	educazione alla salute	educazione alla salute	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3546	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3547	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3548	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3549	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3550	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3551	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3552	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3553	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3554	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3555	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3556	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3557	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3558	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3559	Educazione Sanitaria	supporto al follow up	supporto al follow up	supporto al follow up	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3560	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	016T	Somministrazione dei medicinali prescritti per via parenterale
3561	Monitoraggi e Misurazioni	Monitoraggio parametri	monitoraggio parametri	monitoraggio parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3562	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3563	Monitoraggi e Misurazioni	Pa	pa	pressiore arteriosa	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3564	PAI, pianificazione, valutazione	valutazione infermieristica	valutazione infermieristica	valutazione infermieristico	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3565	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3566	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3568	Monitoraggi e Misurazioni	Misurazione parametri vitali	misurazione parametri vitali	misurazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3570	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3571	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3574	Monitoraggi e Misurazioni	rilevazione parametri	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3575	Monitoraggi e Misurazioni	RILIEVO PARAMETRI VITALI	rilievo parametri vitali	rilievo parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3577	Monitoraggi e Misurazioni	rilevazione parametri	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3578	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo emarico	prelievo emarico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3579	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3580	Monitoraggi e Misurazioni	monitoraggio PV	monitoraggio pv	monitoraggio parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
